history_id,placement_id,status,period_start,period_end,employer_id,job_title,exit_reason_code,exit_reason_text
69,93,active,2025-02-28,,1.0,IT/ITES Associate,,
70,94,active,2025-03-22,,,IT/ITES Associate,,
71,95,active,2025-02-06,,4.0,IT/ITES Associate,,
72,96,active,2025-03-23,,2.0,IT/ITES Associate,,
73,97,active,2025-04-03,,2.0,IT/ITES Associate,,
74,98,ended,2025-03-18,2025-09-14,6.0,IT/ITES Helper (low-relevance role),health,Health-related reasons
75,99,active,2025-02-12,,5.0,IT/ITES Associate,,
76,100,active,2025-03-19,,3.0,IT/ITES Associate,,
77,101,active,2025-02-07,,5.0,IT/ITES Associate,,
78,103,active,2025-03-17,,,IT/ITES Associate,,
79,104,active,2025-02-24,,,IT/ITES Associate,,
80,105,active,2025-02-05,,5.0,IT/ITES Helper (low-relevance role),,
81,106,active,2025-01-24,,5.0,IT/ITES Associate,,
82,108,active,2025-02-14,,,IT/ITES Associate,,
83,109,active,2025-02-10,,,IT/ITES Associate,,
84,110,active,2025-03-01,,5.0,IT/ITES Associate,,
85,111,active,2025-03-25,,,IT/ITES Associate,,
86,112,ended,2025-02-01,2025-07-31,,IT/ITES Associate,family_reasons,Family circumstances changed
87,114,active,2025-03-07,,1.0,IT/ITES Associate,,
88,115,active,2025-04-04,,1.0,IT/ITES Associate,,
89,116,active,2025-02-18,,,IT/ITES Associate,,
90,117,active,2025-03-12,,,IT/ITES Associate,,
91,118,active,2025-03-22,,2.0,IT/ITES Associate,,
92,119,active,2025-02-09,,2.0,IT/ITES Associate,,
93,120,active,2025-03-02,,2.0,IT/ITES Associate,,
94,121,active,2025-01-31,,3.0,IT/ITES Associate,,
95,122,active,2025-02-11,,5.0,IT/ITES Associate,,
96,123,active,2025-03-11,,,IT/ITES Associate,,
97,124,active,2025-01-28,,5.0,IT/ITES Helper (low-relevance role),,
98,125,active,2025-05-26,,2.0,IT/ITES Associate,,
99,126,active,2025-05-17,,1.0,IT/ITES Associate,,
100,127,active,2025-06-04,,6.0,IT/ITES Associate,,
101,128,active,2025-05-03,,5.0,IT/ITES Helper (low-relevance role),,
102,129,ended,2025-04-29,2025-07-28,4.0,IT/ITES Helper (low-relevance role),location_mismatch,Commute / relocation issues
103,130,active,2025-04-23,,4.0,IT/ITES Associate,,
104,132,active,2025-06-05,,4.0,IT/ITES Associate,,
105,133,active,2025-06-13,,4.0,IT/ITES Associate,,
106,134,active,2025-05-13,,,IT/ITES Associate,,
107,135,active,2025-05-07,,3.0,IT/ITES Helper (low-relevance role),,
108,136,active,2025-05-17,,2.0,IT/ITES Associate,,
109,137,active,2025-04-13,,1.0,IT/ITES Associate,,
110,138,ended,2025-06-05,2025-09-03,,IT/ITES Associate,skill_mismatch,Job did not match trained skillset
111,139,active,2025-05-18,,,IT/ITES Associate,,
112,140,active,2025-04-08,,6.0,IT/ITES Helper (low-relevance role),,
113,141,active,2025-06-08,,1.0,IT/ITES Associate,,
114,142,active,2025-05-03,,6.0,IT/ITES Associate,,
115,143,active,2025-04-27,,3.0,IT/ITES Associate,,
116,145,ended,2025-05-05,2025-08-03,6.0,IT/ITES Associate,family_reasons,Family circumstances changed
117,146,active,2025-05-22,,5.0,IT/ITES Associate,,
118,147,active,2025-05-02,,,IT/ITES Associate,,
119,148,active,2025-04-28,,2.0,IT/ITES Associate,,
120,150,active,2025-05-17,,4.0,IT/ITES Associate,,
121,151,active,2025-05-27,,6.0,IT/ITES Associate,,
122,152,active,2025-05-10,,,IT/ITES Associate,,
123,154,ended,2025-04-04,2025-10-01,,IT/ITES Associate,family_reasons,Family circumstances changed
124,155,ended,2025-05-16,2025-11-12,2.0,IT/ITES Associate,better_opportunity,Moved to a better opportunity
125,156,active,2025-04-16,,1.0,IT/ITES Associate,,
126,157,ended,2025-04-06,2025-07-05,3.0,IT/ITES Associate,workplace_issues,Workplace conditions / employer issues
127,158,active,2025-04-21,,2.0,IT/ITES Associate,,
128,159,ended,2025-06-08,2025-09-06,6.0,IT/ITES Associate,family_reasons,Family circumstances changed
129,160,active,2025-04-20,,3.0,IT/ITES Associate,,
130,161,active,2025-04-17,,5.0,IT/ITES Associate,,
131,162,active,2025-05-11,,,IT/ITES Associate,,
132,163,active,2025-04-30,,1.0,IT/ITES Helper (low-relevance role),,
133,165,active,2025-04-27,,2.0,IT/ITES Associate,,
134,166,active,2025-05-25,,5.0,IT/ITES Helper (low-relevance role),,
135,167,active,2025-06-07,,,IT/ITES Associate,,
136,168,ended,2025-04-16,2025-07-15,,IT/ITES Associate,skill_mismatch,Job did not match trained skillset
137,169,active,2025-05-28,,5.0,IT/ITES Associate,,
138,170,active,2025-04-10,,,IT/ITES Associate,,
139,171,ended,2025-05-10,2026-05-05,,IT/ITES Associate,family_reasons,Family circumstances changed
140,172,active,2025-05-25,,4.0,IT/ITES Associate,,
141,176,active,2025-05-19,,2.0,IT/ITES Associate,,
142,177,active,2025-04-26,,6.0,IT/ITES Associate,,
143,178,active,2025-05-03,,5.0,IT/ITES Associate,,
144,179,active,2025-05-07,,3.0,IT/ITES Associate,,
145,180,active,2025-04-24,,1.0,IT/ITES Associate,,
146,181,ended,2025-05-23,2025-08-21,1.0,IT/ITES Associate,family_reasons,Family circumstances changed
147,183,active,2025-05-03,,5.0,IT/ITES Associate,,
148,184,active,2025-05-23,,6.0,IT/ITES Associate,,
149,185,active,2025-06-11,,1.0,IT/ITES Associate,,
150,186,ended,2025-04-19,2026-04-14,1.0,IT/ITES Associate,workplace_issues,Workplace conditions / employer issues
151,188,active,2024-10-13,,2.0,IT/ITES Associate,,
152,189,active,2024-11-26,,,IT/ITES Helper (low-relevance role),,
153,190,active,2024-11-27,,,IT/ITES Associate,,
154,191,ended,2024-12-18,2025-06-16,4.0,IT/ITES Associate,skill_mismatch,Job did not match trained skillset
155,192,active,2024-10-21,,3.0,IT/ITES Associate,,
156,193,active,2024-12-21,,3.0,IT/ITES Helper (low-relevance role),,
157,195,active,2024-11-12,,5.0,IT/ITES Helper (low-relevance role),,
158,197,active,2024-12-01,,,IT/ITES Associate,,
159,198,active,2024-12-18,,6.0,IT/ITES Associate,,
160,199,active,2024-10-22,,6.0,IT/ITES Associate,,
161,201,active,2024-10-24,,6.0,IT/ITES Associate,,
162,203,active,2024-12-17,,,IT/ITES Associate,,
163,204,active,2024-10-15,,2.0,IT/ITES Associate,,
164,205,active,2024-11-15,,1.0,IT/ITES Associate,,
165,207,active,2024-10-18,,,IT/ITES Associate,,
166,208,active,2024-11-06,,6.0,IT/ITES Associate,,
167,209,ended,2024-11-03,2025-05-02,,IT/ITES Associate,skill_mismatch,Job did not match trained skillset
168,210,ended,2024-10-12,2025-01-10,5.0,IT/ITES Associate,better_opportunity,Moved to a better opportunity
169,211,active,2024-11-03,,6.0,IT/ITES Associate,,
170,213,active,2024-12-14,,5.0,IT/ITES Associate,,
171,214,active,2024-11-24,,3.0,IT/ITES Helper (low-relevance role),,
172,215,active,2024-11-23,,5.0,IT/ITES Helper (low-relevance role),,
173,216,active,2024-11-19,,,IT/ITES Associate,,
174,217,active,2024-10-23,,1.0,IT/ITES Associate,,
175,218,active,2024-12-20,,,IT/ITES Associate,,
176,219,active,2024-12-11,,,IT/ITES Associate,,
177,220,active,2024-10-21,,5.0,IT/ITES Associate,,
178,221,active,2024-10-20,,4.0,IT/ITES Associate,,
179,222,ended,2024-11-25,2025-11-20,4.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
180,223,active,2024-12-11,,2.0,IT/ITES Associate,,
181,225,active,2024-12-20,,4.0,IT/ITES Associate,,
182,226,active,2024-12-20,,,IT/ITES Associate,,
183,227,active,2024-10-22,,4.0,IT/ITES Associate,,
184,229,active,2024-10-18,,,IT/ITES Associate,,
185,231,active,2024-11-11,,,IT/ITES Associate,,
186,232,active,2024-11-04,,,IT/ITES Associate,,
187,233,active,2024-12-07,,1.0,IT/ITES Associate,,
188,234,active,2024-11-26,,5.0,IT/ITES Associate,,
189,235,active,2024-11-11,,,IT/ITES Helper (low-relevance role),,
190,236,ended,2024-10-17,2025-10-12,5.0,IT/ITES Associate,low_wage,Left due to low wage relative to workload
191,237,active,2024-11-08,,,IT/ITES Associate,,
192,238,active,2024-12-11,,,IT/ITES Associate,,
193,239,active,2024-12-11,,2.0,IT/ITES Associate,,
194,240,ended,2024-11-22,2025-02-20,6.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
195,241,active,2024-10-28,,3.0,IT/ITES Associate,,
196,242,active,2024-10-12,,5.0,IT/ITES Associate,,
197,243,active,2024-11-28,,,IT/ITES Associate,,
198,244,active,2024-11-27,,3.0,IT/ITES Associate,,
199,245,ended,2024-11-18,2025-11-13,5.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
200,246,active,2024-11-10,,1.0,IT/ITES Associate,,
201,249,active,2024-11-28,,2.0,IT/ITES Associate,,
202,250,ended,2024-07-24,2025-01-20,6.0,IT/ITES Associate,skill_mismatch,Job did not match trained skillset
203,251,active,2024-06-30,,6.0,IT/ITES Helper (low-relevance role),,
204,254,active,2024-06-22,,3.0,IT/ITES Helper (low-relevance role),,
205,256,active,2024-06-01,,6.0,IT/ITES Associate,,
206,257,active,2024-07-06,,4.0,IT/ITES Helper (low-relevance role),,
207,258,active,2024-07-20,,4.0,IT/ITES Associate,,
208,259,ended,2024-05-20,2024-08-18,3.0,IT/ITES Associate,low_wage,Left due to low wage relative to workload
209,260,active,2024-05-27,,1.0,IT/ITES Associate,,
210,261,active,2024-06-20,,,IT/ITES Associate,,
211,262,active,2024-05-28,,6.0,IT/ITES Associate,,
212,263,active,2024-06-01,,2.0,IT/ITES Associate,,
213,264,active,2024-07-23,,,IT/ITES Associate,,
214,265,active,2024-06-29,,5.0,IT/ITES Associate,,
215,266,active,2024-07-08,,,IT/ITES Helper (low-relevance role),,
216,267,active,2024-07-05,,5.0,IT/ITES Associate,,
217,268,active,2024-07-13,,6.0,IT/ITES Associate,,
218,269,ended,2024-07-13,2025-07-08,3.0,IT/ITES Helper (low-relevance role),skill_mismatch,Job did not match trained skillset
219,271,active,2024-06-24,,,IT/ITES Associate,,
220,274,active,2024-05-30,,,IT/ITES Associate,,
221,275,active,2024-06-04,,1.0,IT/ITES Helper (low-relevance role),,
222,276,active,2024-06-17,,,IT/ITES Associate,,
223,277,active,2024-07-21,,1.0,IT/ITES Associate,,
224,278,active,2024-07-14,,1.0,IT/ITES Associate,,
225,280,active,2024-07-09,,5.0,IT/ITES Helper (low-relevance role),,
226,281,active,2024-05-20,,4.0,IT/ITES Associate,,
227,282,active,2024-05-27,,4.0,IT/ITES Associate,,
228,283,active,2024-05-24,,1.0,IT/ITES Associate,,
229,284,active,2024-07-19,,3.0,IT/ITES Associate,,
230,286,ended,2024-05-20,2024-08-18,1.0,IT/ITES Associate,family_reasons,Family circumstances changed
231,287,ended,2024-07-11,2025-07-06,6.0,IT/ITES Associate,family_reasons,Family circumstances changed
232,288,active,2024-07-04,,,IT/ITES Associate,,
233,290,active,2024-07-07,,6.0,IT/ITES Associate,,
234,291,active,2024-06-04,,2.0,IT/ITES Associate,,
235,293,active,2024-05-28,,1.0,IT/ITES Associate,,
236,294,active,2024-07-01,,3.0,IT/ITES Associate,,
237,295,active,2024-05-22,,2.0,IT/ITES Associate,,
238,296,active,2024-06-04,,6.0,IT/ITES Associate,,
239,297,active,2024-07-02,,,IT/ITES Associate,,
240,300,active,2024-07-06,,1.0,IT/ITES Associate,,
241,301,active,2024-07-02,,3.0,IT/ITES Associate,,
242,303,ended,2024-06-19,2024-09-17,1.0,IT/ITES Associate,better_opportunity,Moved to a better opportunity
243,306,active,2024-06-17,,3.0,IT/ITES Helper (low-relevance role),,
244,308,active,2024-07-22,,2.0,IT/ITES Associate,,
245,309,active,2024-07-09,,3.0,IT/ITES Associate,,
246,310,ended,2024-07-10,2024-10-08,6.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
247,311,active,2024-06-12,,,IT/ITES Associate,,
248,312,active,2024-05-17,,,IT/ITES Associate,,
249,313,ended,2024-05-18,2024-11-14,5.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
250,315,active,2025-01-24,,1.0,IT/ITES Helper (low-relevance role),,
251,316,active,2025-01-23,,6.0,IT/ITES Associate,,
252,317,active,2025-02-07,,5.0,IT/ITES Associate,,
253,318,active,2025-03-24,,1.0,IT/ITES Associate,,
254,319,active,2025-01-25,,3.0,IT/ITES Associate,,
255,320,active,2025-02-13,,2.0,IT/ITES Helper (low-relevance role),,
256,321,ended,2025-03-26,2025-09-22,4.0,IT/ITES Associate,low_wage,Left due to low wage relative to workload
257,322,active,2025-02-21,,,IT/ITES Associate,,
258,323,active,2025-03-30,,1.0,IT/ITES Associate,,
259,324,ended,2025-03-27,2026-03-22,2.0,IT/ITES Helper (low-relevance role),better_opportunity,Moved to a better opportunity
260,325,active,2025-02-27,,,IT/ITES Associate,,
261,326,active,2025-03-23,,,IT/ITES Associate,,
262,328,active,2025-03-18,,2.0,IT/ITES Associate,,
263,329,active,2025-02-24,,2.0,IT/ITES Associate,,
264,330,active,2025-03-02,,2.0,IT/ITES Associate,,
265,332,active,2025-02-14,,4.0,IT/ITES Associate,,
266,333,active,2025-01-21,,2.0,IT/ITES Associate,,
267,334,active,2025-03-01,,6.0,IT/ITES Associate,,
268,335,active,2025-02-14,,3.0,IT/ITES Helper (low-relevance role),,
269,336,active,2025-02-17,,,IT/ITES Associate,,
270,337,active,2025-02-11,,4.0,IT/ITES Associate,,
271,338,active,2025-02-28,,4.0,IT/ITES Helper (low-relevance role),,
272,340,active,2025-03-10,,,IT/ITES Associate,,
273,341,active,2025-02-21,,,IT/ITES Associate,,
274,342,active,2025-02-14,,,IT/ITES Helper (low-relevance role),,
275,343,active,2025-01-25,,1.0,IT/ITES Associate,,
276,344,active,2025-03-08,,,IT/ITES Helper (low-relevance role),,
277,345,active,2025-03-25,,5.0,IT/ITES Associate,,
278,346,active,2025-03-29,,,IT/ITES Associate,,
279,347,active,2025-02-05,,3.0,IT/ITES Helper (low-relevance role),,
280,348,active,2025-01-24,,,IT/ITES Associate,,
281,349,active,2025-03-05,,,IT/ITES Helper (low-relevance role),,
282,350,active,2025-02-02,,6.0,IT/ITES Associate,,
283,351,active,2025-03-09,,6.0,IT/ITES Associate,,
284,352,active,2025-02-27,,4.0,IT/ITES Associate,,
285,353,active,2025-01-30,,1.0,IT/ITES Associate,,
286,354,active,2025-02-27,,2.0,IT/ITES Associate,,
287,355,active,2025-03-26,,6.0,IT/ITES Associate,,
288,356,active,2025-02-11,,1.0,IT/ITES Helper (low-relevance role),,
289,357,active,2025-02-07,,,IT/ITES Helper (low-relevance role),,
290,358,active,2025-02-10,,1.0,IT/ITES Associate,,
291,362,ended,2025-02-28,2025-05-29,2.0,IT/ITES Associate,better_opportunity,Moved to a better opportunity
292,363,active,2025-01-20,,4.0,IT/ITES Helper (low-relevance role),,
293,364,active,2025-02-23,,4.0,IT/ITES Associate,,
294,365,active,2025-03-04,,,IT/ITES Associate,,
295,367,active,2025-03-15,,2.0,IT/ITES Associate,,
296,369,active,2025-02-05,,,IT/ITES Associate,,
297,370,active,2025-03-14,,2.0,IT/ITES Associate,,
298,371,active,2025-03-12,,,IT/ITES Associate,,
299,373,active,2025-03-08,,6.0,IT/ITES Helper (low-relevance role),,
300,374,active,2025-03-17,,2.0,IT/ITES Associate,,
301,375,ended,2025-01-29,2025-04-29,2.0,IT/ITES Helper (low-relevance role),low_wage,Left due to low wage relative to workload
302,377,ended,2025-03-17,2026-03-12,,IT/ITES Associate,low_wage,Left due to low wage relative to workload
303,379,active,2025-02-04,,3.0,IT/ITES Helper (low-relevance role),,
304,381,active,2025-01-11,,8.0,Healthcare Support Helper (low-relevance role),,
305,382,active,2024-12-30,,8.0,Healthcare Support Helper (low-relevance role),,
306,383,ended,2024-12-13,2025-12-08,,Healthcare Support Associate,low_wage,Left due to low wage relative to workload
307,386,active,2025-01-12,,8.0,Healthcare Support Associate,,
308,387,active,2024-12-23,,7.0,Healthcare Support Associate,,
309,388,active,2025-01-26,,12.0,Healthcare Support Helper (low-relevance role),,
310,392,active,2024-12-28,,7.0,Healthcare Support Helper (low-relevance role),,
311,393,active,2024-11-28,,12.0,Healthcare Support Helper (low-relevance role),,
312,394,ended,2024-12-20,2025-06-18,10.0,Healthcare Support Helper (low-relevance role),better_opportunity,Moved to a better opportunity
313,398,active,2025-01-17,,,Healthcare Support Helper (low-relevance role),,
314,403,active,2024-12-07,,,Healthcare Support Associate,,
315,408,active,2025-01-11,,12.0,Healthcare Support Associate,,
316,409,active,2024-12-12,,11.0,Healthcare Support Associate,,
317,410,active,2024-12-08,,11.0,Healthcare Support Associate,,
318,411,active,2024-12-08,,,Healthcare Support Associate,,
319,413,active,2025-01-17,,,Healthcare Support Helper (low-relevance role),,
320,414,active,2025-01-19,,7.0,Healthcare Support Associate,,
321,415,active,2025-01-03,,10.0,Healthcare Support Associate,,
322,416,ended,2024-12-23,2025-12-18,10.0,Healthcare Support Helper (low-relevance role),low_wage,Left due to low wage relative to workload
323,417,active,2024-11-29,,11.0,Healthcare Support Helper (low-relevance role),,
324,418,active,2024-12-26,,7.0,Healthcare Support Helper (low-relevance role),,
325,420,active,2024-12-02,,8.0,Healthcare Support Helper (low-relevance role),,
326,421,ended,2024-12-17,2025-03-17,,Healthcare Support Helper (low-relevance role),location_mismatch,Commute / relocation issues
327,422,active,2025-01-17,,11.0,Healthcare Support Associate,,
328,425,active,2025-01-23,,12.0,Healthcare Support Associate,,
329,426,active,2024-12-30,,,Healthcare Support Associate,,
330,427,active,2024-12-11,,8.0,Healthcare Support Associate,,
331,428,active,2025-01-05,,12.0,Healthcare Support Associate,,
332,429,active,2025-01-17,,7.0,Healthcare Support Associate,,
333,430,active,2024-12-15,,9.0,Healthcare Support Associate,,
334,431,active,2025-01-15,,7.0,Healthcare Support Associate,,
335,433,active,2024-12-21,,8.0,Healthcare Support Associate,,
336,437,active,2024-12-11,,10.0,Healthcare Support Helper (low-relevance role),,
337,438,active,2025-01-05,,,Healthcare Support Associate,,
338,439,active,2024-12-23,,12.0,Healthcare Support Associate,,
339,440,active,2025-01-17,,8.0,Healthcare Support Associate,,
340,443,active,2025-05-08,,7.0,Healthcare Support Helper (low-relevance role),,
341,445,active,2025-04-30,,,Healthcare Support Associate,,
342,446,active,2025-05-09,,10.0,Healthcare Support Helper (low-relevance role),,
343,447,active,2025-06-02,,7.0,Healthcare Support Associate,,
344,449,active,2025-06-01,,8.0,Healthcare Support Associate,,
345,450,active,2025-06-17,,8.0,Healthcare Support Helper (low-relevance role),,
346,452,active,2025-06-21,,10.0,Healthcare Support Associate,,
347,453,ended,2025-06-23,2025-09-21,9.0,Healthcare Support Helper (low-relevance role),low_wage,Left due to low wage relative to workload
348,454,active,2025-05-16,,7.0,Healthcare Support Helper (low-relevance role),,
349,455,ended,2025-06-15,2026-06-10,12.0,Healthcare Support Associate,skill_mismatch,Job did not match trained skillset
350,456,active,2025-05-12,,,Healthcare Support Associate,,
351,457,active,2025-06-14,,12.0,Healthcare Support Associate,,
352,458,active,2025-05-18,,10.0,Healthcare Support Associate,,
353,459,active,2025-06-05,,9.0,Healthcare Support Helper (low-relevance role),,
354,460,active,2025-05-28,,12.0,Healthcare Support Associate,,
355,461,ended,2025-05-29,2025-11-25,8.0,Healthcare Support Associate,better_opportunity,Moved to a better opportunity
356,464,active,2025-06-07,,,Healthcare Support Associate,,
357,465,active,2025-05-12,,10.0,Healthcare Support Helper (low-relevance role),,
358,467,active,2025-06-15,,9.0,Healthcare Support Associate,,
359,468,ended,2025-05-21,2026-05-16,10.0,Healthcare Support Helper (low-relevance role),location_mismatch,Commute / relocation issues
360,469,active,2025-06-30,,8.0,Healthcare Support Helper (low-relevance role),,
361,470,active,2025-06-15,,,Healthcare Support Associate,,
362,471,active,2025-06-30,,9.0,Healthcare Support Helper (low-relevance role),,
363,472,ended,2025-06-22,2025-12-19,10.0,Healthcare Support Associate,family_reasons,Family circumstances changed
364,473,active,2025-05-03,,11.0,Healthcare Support Associate,,
365,474,active,2025-05-11,,,Healthcare Support Helper (low-relevance role),,
366,475,active,2025-05-01,,8.0,Healthcare Support Helper (low-relevance role),,
367,476,ended,2025-06-11,2025-12-08,,Healthcare Support Associate,low_wage,Left due to low wage relative to workload
368,477,ended,2025-06-12,2025-09-10,11.0,Healthcare Support Helper (low-relevance role),skill_mismatch,Job did not match trained skillset
369,481,ended,2025-05-25,2025-11-21,7.0,Healthcare Support Associate,low_wage,Left due to low wage relative to workload
370,482,active,2025-06-02,,7.0,Healthcare Support Associate,,
371,483,active,2025-06-14,,11.0,Healthcare Support Associate,,
372,485,active,2025-05-17,,8.0,Healthcare Support Associate,,
373,486,ended,2025-05-29,2025-08-27,,Healthcare Support Associate,low_wage,Left due to low wage relative to workload
374,487,active,2025-05-06,,12.0,Healthcare Support Associate,,
375,488,ended,2025-05-31,2025-08-29,,Healthcare Support Associate,skill_mismatch,Job did not match trained skillset
376,491,active,2025-05-12,,,Healthcare Support Associate,,
377,493,active,2025-06-12,,,Healthcare Support Helper (low-relevance role),,
378,495,active,2025-06-13,,12.0,Healthcare Support Associate,,
379,497,ended,2025-06-09,2025-09-07,,Healthcare Support Associate,location_mismatch,Commute / relocation issues
380,498,ended,2025-06-25,2026-06-20,,Healthcare Support Helper (low-relevance role),skill_mismatch,Job did not match trained skillset
381,499,ended,2025-05-25,2025-11-21,8.0,Healthcare Support Associate,skill_mismatch,Job did not match trained skillset
382,500,ended,2025-05-29,2026-05-24,12.0,Healthcare Support Associate,low_wage,Left due to low wage relative to workload
383,501,active,2025-06-05,,7.0,Healthcare Support Helper (low-relevance role),,
384,503,active,2025-07-21,,8.0,Healthcare Support Helper (low-relevance role),,
385,506,active,2025-07-17,,11.0,Healthcare Support Helper (low-relevance role),,
386,509,active,2025-08-28,,12.0,Healthcare Support Associate,,
387,510,active,2025-07-21,,11.0,Healthcare Support Helper (low-relevance role),,
388,511,active,2025-07-24,,7.0,Healthcare Support Associate,,
389,512,ended,2025-08-27,2026-08-22,11.0,Healthcare Support Helper (low-relevance role),low_wage,Left due to low wage relative to workload
390,513,ended,2025-09-03,2026-08-29,10.0,Healthcare Support Associate,skill_mismatch,Job did not match trained skillset
391,514,ended,2025-09-03,2026-08-29,,Healthcare Support Associate,better_opportunity,Moved to a better opportunity
392,515,ended,2025-09-07,2026-03-06,11.0,Healthcare Support Helper (low-relevance role),family_reasons,Family circumstances changed
393,516,ended,2025-08-07,2025-11-05,,Healthcare Support Associate,better_opportunity,Moved to a better opportunity
394,517,active,2025-07-30,,,Healthcare Support Associate,,
395,522,active,2025-09-09,,8.0,Healthcare Support Helper (low-relevance role),,
396,523,active,2025-07-16,,,Healthcare Support Helper (low-relevance role),,
397,524,active,2025-08-18,,9.0,Healthcare Support Helper (low-relevance role),,
398,526,active,2025-09-13,,7.0,Healthcare Support Helper (low-relevance role),,
399,527,active,2025-07-09,,10.0,Healthcare Support Associate,,
400,530,active,2025-09-01,,7.0,Healthcare Support Helper (low-relevance role),,
401,531,active,2025-09-03,,7.0,Healthcare Support Helper (low-relevance role),,
