followup_id,trainee_id,placement_id,followup_date,scheduled_month,status,employment_status_at_followup,wage_at_followup,notes
52,26,25,2025-08-21,3,completed,employed,18500.0,
53,26,25,2025-11-19,6,completed,employed,18800.0,
54,26,25,2026-05-18,12,completed,employed,20000.0,
55,27,26,2025-08-12,3,completed,employed,17800.0,
56,27,26,2025-11-10,6,completed,employed,17500.0,
57,27,26,2026-05-09,12,completed,employed,18500.0,
58,29,28,2025-09-18,3,completed,employed,14400.0,
59,29,28,2025-12-17,6,missed,,,
60,29,28,2026-06-15,12,completed,employed,14600.0,
61,31,30,2025-07-25,3,completed,employed,18100.0,
62,31,30,2025-10-23,6,completed,employed,18200.0,
63,31,30,2026-04-21,12,completed,employed,19600.0,
64,34,33,2025-09-14,3,completed,employed,17200.0,
65,34,33,2025-12-13,6,completed,employed,19200.0,
66,34,33,2026-06-11,12,missed,,,
67,36,35,2025-07-28,3,completed,employed,15300.0,
68,36,35,2025-10-26,6,completed,employed,16100.0,
69,36,35,2026-04-24,12,completed,employed,17200.0,
70,40,38,2025-09-26,3,completed,employed,19300.0,
71,40,38,2025-12-25,6,completed,employed,21300.0,
72,40,38,2026-06-23,12,completed,unemployed,,Commute / relocation issues
73,41,39,2025-08-12,3,completed,employed,16800.0,
74,41,39,2025-11-10,6,completed,employed,17500.0,
75,41,39,2026-05-09,12,completed,employed,18100.0,
76,42,40,2025-09-03,3,completed,employed,12900.0,
77,42,40,2025-12-02,6,completed,employed,13700.0,
78,42,40,2026-05-31,12,completed,employed,13400.0,
79,43,41,2025-07-24,3,completed,employed,14000.0,
80,43,41,2025-10-22,6,completed,employed,14500.0,
81,43,41,2026-04-20,12,completed,employed,15900.0,
82,44,42,2025-09-08,3,completed,employed,18400.0,
83,44,42,2025-12-07,6,completed,employed,18700.0,
84,44,42,2026-06-05,12,completed,employed,20000.0,
85,45,43,2025-08-01,3,completed,employed,15100.0,
86,45,43,2025-10-30,6,completed,employed,16300.0,
87,45,43,2026-04-28,12,completed,employed,17200.0,
88,47,44,2025-08-20,3,completed,employed,17500.0,
89,47,44,2025-11-18,6,completed,employed,19400.0,
90,47,44,2026-05-17,12,completed,employed,21300.0,
91,48,45,2025-09-04,3,missed,,,
92,48,45,2025-12-03,6,completed,employed,19700.0,
93,48,45,2026-06-01,12,completed,employed,20800.0,
94,49,46,2025-08-01,3,completed,employed,15000.0,
95,49,46,2025-10-30,6,completed,employed,15900.0,
96,49,46,2026-04-28,12,completed,employed,16800.0,
97,50,47,2025-09-12,3,completed,employed,17300.0,
98,50,47,2025-12-11,6,completed,employed,18400.0,
99,50,47,2026-06-09,12,completed,employed,20300.0,
100,52,48,2025-07-23,3,completed,employed,15100.0,
101,52,48,2025-10-21,6,completed,employed,15600.0,
102,52,48,2026-04-19,12,missed,,,
103,53,49,2025-08-25,3,completed,employed,13400.0,
104,53,49,2025-11-23,6,completed,employed,14400.0,
105,53,49,2026-05-22,12,missed,,,
106,55,50,2025-09-11,3,missed,,,
107,55,50,2025-12-10,6,completed,employed,18900.0,
108,55,50,2026-06-08,12,completed,employed,19600.0,
109,56,51,2025-08-07,3,completed,employed,18700.0,
110,56,51,2025-11-05,6,completed,employed,18800.0,
111,56,51,2026-05-04,12,completed,employed,19000.0,
112,57,52,2025-08-25,3,completed,employed,17800.0,
113,57,52,2025-11-23,6,completed,employed,19200.0,
114,57,52,2026-05-22,12,missed,,,
115,58,53,2025-09-07,3,completed,employed,17000.0,
116,58,53,2025-12-06,6,completed,employed,17500.0,
117,58,53,2026-06-04,12,completed,unemployed,,Family circumstances changed
118,59,54,2025-08-31,3,missed,,,
119,59,54,2025-11-29,6,completed,employed,16300.0,
120,59,54,2026-05-28,12,completed,employed,17500.0,
121,60,55,2025-08-09,3,completed,employed,17800.0,
122,60,55,2025-11-07,6,completed,employed,19600.0,
123,60,55,2026-05-06,12,completed,employed,19600.0,
124,62,57,2025-08-04,3,completed,employed,20100.0,
125,62,57,2025-11-02,6,completed,employed,21000.0,
126,62,57,2026-05-01,12,completed,employed,23100.0,
127,64,59,2025-09-25,3,completed,employed,18000.0,
128,64,59,2025-12-24,6,completed,employed,18500.0,
129,64,59,2026-06-22,12,completed,unemployed,,Commute / relocation issues
130,66,61,2025-07-22,3,completed,employed,17200.0,
131,66,61,2025-10-20,6,completed,employed,17400.0,
132,66,61,2026-04-18,12,completed,employed,17500.0,
133,68,63,2025-08-23,3,completed,employed,17200.0,
134,68,63,2025-11-21,6,completed,employed,17400.0,
135,68,63,2026-05-20,12,completed,employed,17800.0,
136,69,64,2025-06-08,3,completed,employed,18200.0,
137,69,64,2025-09-06,6,completed,employed,19200.0,
138,69,64,2026-03-05,12,completed,employed,20100.0,
139,70,65,2025-06-09,3,missed,,,
140,70,65,2025-09-07,6,completed,employed,19800.0,
141,70,65,2026-03-06,12,completed,employed,21000.0,
142,72,67,2025-05-16,3,completed,employed,15500.0,
143,72,67,2025-08-14,6,completed,employed,16500.0,
144,72,67,2026-02-10,12,completed,employed,16900.0,
145,73,68,2025-07-03,3,completed,employed,15800.0,
146,73,68,2025-10-01,6,completed,employed,17800.0,
147,73,68,2026-03-30,12,completed,employed,18200.0,
148,75,70,2025-07-02,3,missed,,,
149,75,70,2025-09-30,6,completed,employed,14100.0,
150,75,70,2026-03-29,12,completed,employed,15300.0,
151,76,71,2025-04-30,3,completed,employed,15100.0,
152,76,71,2025-07-29,6,completed,employed,15400.0,
153,76,71,2026-01-25,12,completed,unemployed,,Left due to low wage relative to workload
154,79,73,2025-05-09,3,completed,employed,18300.0,
155,79,73,2025-08-07,6,completed,employed,19300.0,
156,79,73,2026-02-03,12,completed,employed,20000.0,
157,80,74,2025-04-26,3,completed,employed,15200.0,
158,80,74,2025-07-25,6,completed,employed,15900.0,
159,80,74,2026-01-21,12,completed,employed,17000.0,
160,81,75,2025-06-23,3,completed,employed,16300.0,
161,81,75,2025-09-21,6,completed,employed,17900.0,
162,81,75,2026-03-20,12,completed,employed,18900.0,
163,82,76,2025-06-25,3,completed,employed,18400.0,
164,82,76,2025-09-23,6,completed,employed,18000.0,
165,82,76,2026-03-22,12,completed,employed,18800.0,
166,83,77,2025-06-30,3,missed,,,
167,83,77,2025-09-28,6,completed,employed,17600.0,
168,83,77,2026-03-27,12,completed,employed,19300.0,
169,84,78,2025-04-28,3,completed,employed,19600.0,
170,84,78,2025-07-27,6,completed,employed,21100.0,
171,84,78,2026-01-23,12,completed,employed,22200.0,
172,85,79,2025-05-17,3,completed,employed,18000.0,
173,85,79,2025-08-15,6,completed,employed,19100.0,
174,85,79,2026-02-11,12,completed,employed,21100.0,
175,86,80,2025-06-02,3,completed,employed,16000.0,
176,86,80,2025-08-31,6,completed,employed,16800.0,
177,86,80,2026-02-27,12,completed,employed,16700.0,
178,88,81,2025-05-20,3,missed,,,
179,88,81,2025-08-18,6,completed,employed,15900.0,
180,88,81,2026-02-14,12,completed,employed,16700.0,
181,90,83,2025-06-11,3,completed,employed,15000.0,
182,90,83,2025-09-09,6,missed,,,
183,90,83,2026-03-08,12,missed,,,
184,91,84,2025-05-18,3,completed,employed,20200.0,
185,91,84,2025-08-16,6,completed,employed,21500.0,
186,91,84,2026-02-12,12,missed,,,
187,92,85,2025-06-03,3,completed,employed,16400.0,
188,92,85,2025-09-01,6,completed,employed,17400.0,
189,92,85,2026-02-28,12,missed,,,
190,93,86,2025-06-23,3,missed,,,
191,93,86,2025-09-21,6,completed,employed,16600.0,
192,93,86,2026-03-20,12,missed,,,
193,95,88,2025-05-18,3,completed,employed,17900.0,
194,95,88,2025-08-16,6,completed,employed,19100.0,
195,95,88,2026-02-12,12,completed,employed,18800.0,
196,96,89,2025-07-03,3,completed,employed,14200.0,
197,96,89,2025-10-01,6,completed,employed,14600.0,
198,96,89,2026-03-30,12,completed,employed,15300.0,
199,97,90,2025-04-30,3,completed,employed,13300.0,
200,97,90,2025-07-29,6,completed,employed,13500.0,
201,97,90,2026-01-25,12,completed,unemployed,,Job did not match trained skillset
202,98,91,2025-05-07,3,completed,employed,19500.0,
203,98,91,2025-08-05,6,completed,employed,22200.0,
204,98,91,2026-02-01,12,missed,,,
205,101,93,2025-05-29,3,completed,employed,17300.0,
206,101,93,2025-08-27,6,completed,employed,18400.0,
207,101,93,2026-02-23,12,completed,employed,19500.0,
208,103,94,2025-06-20,3,completed,employed,17200.0,
209,103,94,2025-09-18,6,completed,employed,18400.0,
210,103,94,2026-03-17,12,completed,employed,19100.0,
211,104,95,2025-05-07,3,completed,employed,14900.0,
212,104,95,2025-08-05,6,completed,employed,15200.0,
213,104,95,2026-02-01,12,completed,employed,16200.0,
214,105,96,2025-06-21,3,completed,employed,19500.0,
215,105,96,2025-09-19,6,completed,employed,19800.0,
216,105,96,2026-03-18,12,completed,employed,20400.0,
217,106,97,2025-07-02,3,completed,employed,19300.0,
218,106,97,2025-09-30,6,missed,,,
219,106,97,2026-03-29,12,completed,employed,19500.0,
220,107,98,2025-06-16,3,completed,employed,13800.0,
221,107,98,2025-09-14,6,completed,unemployed,,Health-related reasons
222,107,98,2026-03-13,12,completed,unemployed,,
223,109,99,2025-05-13,3,completed,employed,16600.0,
224,109,99,2025-08-11,6,completed,employed,17200.0,
225,109,99,2026-02-07,12,missed,,,
226,110,100,2025-06-17,3,completed,employed,18300.0,
227,110,100,2025-09-15,6,completed,employed,19300.0,
228,110,100,2026-03-14,12,completed,employed,19800.0,
229,111,101,2025-05-08,3,completed,employed,15700.0,
230,111,101,2025-08-06,6,completed,employed,16600.0,
231,111,101,2026-02-02,12,completed,employed,17200.0,
232,113,103,2025-06-15,3,completed,employed,13800.0,
233,113,103,2025-09-13,6,completed,employed,15000.0,
234,113,103,2026-03-12,12,completed,employed,16400.0,
235,114,104,2025-05-25,3,completed,employed,14400.0,
236,114,104,2025-08-23,6,completed,employed,14600.0,
237,114,104,2026-02-19,12,completed,employed,15600.0,
238,115,105,2025-05-06,3,missed,,,
239,115,105,2025-08-04,6,completed,employed,18700.0,
240,115,105,2026-01-31,12,completed,employed,18500.0,
241,117,106,2025-04-24,3,completed,employed,15800.0,
242,117,106,2025-07-23,6,completed,employed,16200.0,
243,117,106,2026-01-19,12,completed,employed,16900.0,
244,119,108,2025-05-15,3,missed,,,
245,119,108,2025-08-13,6,completed,employed,17000.0,
246,119,108,2026-02-09,12,completed,employed,18500.0,
247,120,109,2025-05-11,3,completed,employed,17700.0,
248,120,109,2025-08-09,6,completed,employed,19400.0,
249,120,109,2026-02-05,12,completed,employed,21000.0,
250,121,110,2025-05-30,3,missed,,,
251,121,110,2025-08-28,6,completed,employed,15400.0,
252,121,110,2026-02-24,12,completed,employed,16300.0,
253,122,111,2025-06-23,3,completed,employed,16100.0,
254,122,111,2025-09-21,6,completed,employed,16700.0,
255,122,111,2026-03-20,12,missed,,,
256,123,112,2025-05-02,3,missed,,,
257,123,112,2025-07-31,6,completed,unemployed,,Family circumstances changed
258,123,112,2026-01-27,12,completed,unemployed,,
259,125,114,2025-06-05,3,completed,employed,13700.0,
260,125,114,2025-09-03,6,completed,employed,14300.0,
261,125,114,2026-03-02,12,missed,,,
262,126,115,2025-07-03,3,completed,employed,16600.0,
263,126,115,2025-10-01,6,completed,employed,17600.0,
264,126,115,2026-03-30,12,completed,employed,19000.0,
265,128,116,2025-05-19,3,completed,employed,17500.0,
266,128,116,2025-08-17,6,completed,employed,18500.0,
267,128,116,2026-02-13,12,completed,employed,18200.0,
268,129,117,2025-06-10,3,completed,employed,16200.0,
269,129,117,2025-09-08,6,completed,employed,16900.0,
270,129,117,2026-03-07,12,completed,employed,17500.0,
271,130,118,2025-06-20,3,completed,employed,18300.0,
272,130,118,2025-09-18,6,completed,employed,19000.0,
273,130,118,2026-03-17,12,completed,employed,20600.0,
274,131,119,2025-05-10,3,completed,employed,18400.0,
275,131,119,2025-08-08,6,completed,employed,18700.0,
276,131,119,2026-02-04,12,completed,employed,19300.0,
277,132,120,2025-05-31,3,completed,employed,16300.0,
278,132,120,2025-08-29,6,missed,,,
279,132,120,2026-02-25,12,completed,employed,18700.0,
280,133,121,2025-05-01,3,completed,employed,14900.0,
281,133,121,2025-07-30,6,completed,employed,16100.0,
282,133,121,2026-01-26,12,completed,employed,16200.0,
283,134,122,2025-05-12,3,completed,employed,14000.0,
284,134,122,2025-08-10,6,missed,,,
285,134,122,2026-02-06,12,completed,employed,15100.0,
286,135,123,2025-06-09,3,completed,employed,19600.0,
287,135,123,2025-09-07,6,completed,employed,20200.0,
288,135,123,2026-03-06,12,completed,employed,20800.0,
289,136,124,2025-04-28,3,completed,employed,14500.0,
290,136,124,2025-07-27,6,completed,employed,15300.0,
291,136,124,2026-01-23,12,completed,employed,15900.0,
292,137,125,2025-08-24,3,completed,employed,18700.0,
293,137,125,2025-11-22,6,missed,,,
294,137,125,2026-05-21,12,missed,,,
295,138,126,2025-08-15,3,missed,,,
296,138,126,2025-11-13,6,completed,employed,16000.0,
297,138,126,2026-05-12,12,completed,employed,17200.0,
298,139,127,2025-09-02,3,completed,employed,16700.0,
299,139,127,2025-12-01,6,completed,employed,17300.0,
300,139,127,2026-05-30,12,completed,employed,18400.0,
301,140,128,2025-08-01,3,completed,employed,14700.0,
302,140,128,2025-10-30,6,missed,,,
303,140,128,2026-04-28,12,completed,employed,14100.0,
304,141,129,2025-07-28,3,completed,unemployed,,Commute / relocation issues
305,141,129,2025-10-26,6,completed,unemployed,,
306,141,129,2026-04-24,12,completed,unemployed,,
307,142,130,2025-07-22,3,completed,employed,15900.0,
308,142,130,2025-10-20,6,completed,employed,16200.0,
309,142,130,2026-04-18,12,completed,employed,16600.0,
310,145,132,2025-09-03,3,completed,employed,13700.0,
311,145,132,2025-12-02,6,completed,employed,14600.0,
312,145,132,2026-05-31,12,completed,employed,15100.0,
313,146,133,2025-09-11,3,completed,employed,14100.0,
314,146,133,2025-12-10,6,completed,employed,14900.0,
315,146,133,2026-06-08,12,completed,employed,16200.0,
316,147,134,2025-08-11,3,completed,employed,14800.0,
317,147,134,2025-11-09,6,missed,,,
318,147,134,2026-05-08,12,completed,employed,15800.0,
319,148,135,2025-08-05,3,missed,,,
320,148,135,2025-11-03,6,completed,employed,14700.0,
321,148,135,2026-05-02,12,missed,,,
322,149,136,2025-08-15,3,completed,employed,15200.0,
323,149,136,2025-11-13,6,completed,employed,15900.0,
324,149,136,2026-05-12,12,completed,employed,17300.0,
325,150,137,2025-07-12,3,completed,employed,16600.0,
326,150,137,2025-10-10,6,completed,employed,17300.0,
327,150,137,2026-04-08,12,completed,employed,18500.0,
328,151,138,2025-09-03,3,completed,unemployed,,Job did not match trained skillset
329,151,138,2025-12-02,6,completed,unemployed,,
330,151,138,2026-05-31,12,completed,unemployed,,
331,152,139,2025-08-16,3,completed,employed,16700.0,
332,152,139,2025-11-14,6,completed,employed,18100.0,
333,152,139,2026-05-13,12,completed,employed,19000.0,
334,153,140,2025-07-07,3,missed,,,
335,153,140,2025-10-05,6,completed,employed,18200.0,
336,153,140,2026-04-03,12,completed,employed,19500.0,
337,154,141,2025-09-06,3,completed,employed,18400.0,
338,154,141,2025-12-05,6,completed,employed,19900.0,
339,154,141,2026-06-03,12,completed,employed,21300.0,
340,155,142,2025-08-01,3,completed,employed,18900.0,
341,155,142,2025-10-30,6,completed,employed,19300.0,
342,155,142,2026-04-28,12,missed,,,
343,156,143,2025-07-26,3,missed,,,
344,156,143,2025-10-24,6,completed,employed,18500.0,
345,156,143,2026-04-22,12,completed,employed,19400.0,
346,159,145,2025-08-03,3,completed,unemployed,,Family circumstances changed
347,159,145,2025-11-01,6,completed,unemployed,,
348,159,145,2026-04-30,12,completed,unemployed,,
349,160,146,2025-08-20,3,missed,,,
350,160,146,2025-11-18,6,completed,employed,16600.0,
351,160,146,2026-05-17,12,completed,employed,17600.0,
352,161,147,2025-07-31,3,missed,,,
353,161,147,2025-10-29,6,completed,employed,17600.0,
354,161,147,2026-04-27,12,completed,employed,19300.0,
355,162,148,2025-07-27,3,completed,employed,19800.0,
356,162,148,2025-10-25,6,completed,employed,21400.0,
357,162,148,2026-04-23,12,missed,,,
358,164,150,2025-08-15,3,completed,employed,16900.0,
359,164,150,2025-11-13,6,completed,employed,17700.0,
360,164,150,2026-05-12,12,missed,,,
361,165,151,2025-08-25,3,completed,employed,13700.0,
362,165,151,2025-11-23,6,completed,employed,14300.0,
363,165,151,2026-05-22,12,completed,employed,15800.0,
364,166,152,2025-08-08,3,completed,employed,14800.0,
365,166,152,2025-11-06,6,completed,employed,15400.0,
366,166,152,2026-05-05,12,completed,employed,15700.0,
367,168,154,2025-07-03,3,completed,employed,18300.0,
368,168,154,2025-10-01,6,completed,unemployed,,Family circumstances changed
369,168,154,2026-03-30,12,completed,unemployed,,
370,169,155,2025-08-14,3,completed,employed,16100.0,
371,169,155,2025-11-12,6,completed,unemployed,,Moved to a better opportunity
372,169,155,2026-05-11,12,completed,unemployed,,
373,171,156,2025-07-15,3,missed,,,
374,171,156,2025-10-13,6,completed,employed,17400.0,
375,171,156,2026-04-11,12,completed,employed,19200.0,
376,173,157,2025-07-05,3,completed,unemployed,,Workplace conditions / employer issues
377,173,157,2025-10-03,6,missed,,,
378,173,157,2026-04-01,12,completed,unemployed,,
379,174,158,2025-07-20,3,completed,employed,18700.0,
380,174,158,2025-10-18,6,missed,,,
381,174,158,2026-04-16,12,completed,employed,20300.0,
382,175,159,2025-09-06,3,completed,unemployed,,Family circumstances changed
383,175,159,2025-12-05,6,completed,unemployed,,
384,175,159,2026-06-03,12,completed,unemployed,,
385,176,160,2025-07-19,3,completed,employed,17200.0,
386,176,160,2025-10-17,6,completed,employed,18000.0,
387,176,160,2026-04-15,12,completed,employed,18900.0,
388,177,161,2025-07-16,3,completed,employed,18300.0,
389,177,161,2025-10-14,6,completed,employed,18500.0,
390,177,161,2026-04-12,12,missed,,,
391,178,162,2025-08-09,3,completed,employed,14300.0,
392,178,162,2025-11-07,6,missed,,,
393,178,162,2026-05-06,12,completed,employed,14900.0,
394,179,163,2025-07-29,3,completed,employed,15400.0,
395,179,163,2025-10-27,6,completed,employed,15700.0,
396,179,163,2026-04-25,12,completed,employed,16200.0,
397,181,165,2025-07-26,3,completed,employed,17300.0,
398,181,165,2025-10-24,6,missed,,,
399,181,165,2026-04-22,12,missed,,,
400,182,166,2025-08-23,3,completed,employed,17000.0,
401,182,166,2025-11-21,6,completed,employed,17000.0,
402,182,166,2026-05-20,12,completed,employed,17300.0,
403,183,167,2025-09-05,3,completed,employed,16100.0,
404,183,167,2025-12-04,6,completed,employed,18000.0,
405,183,167,2026-06-02,12,completed,employed,18800.0,
406,184,168,2025-07-15,3,completed,unemployed,,Job did not match trained skillset
407,184,168,2025-10-13,6,completed,unemployed,,
408,184,168,2026-04-11,12,completed,unemployed,,
409,185,169,2025-08-26,3,completed,employed,15700.0,
410,185,169,2025-11-24,6,completed,employed,16700.0,
411,185,169,2026-05-23,12,completed,employed,17700.0,
412,186,170,2025-07-09,3,missed,,,
413,186,170,2025-10-07,6,missed,,,
414,186,170,2026-04-05,12,completed,employed,14800.0,
415,187,171,2025-08-08,3,completed,employed,18000.0,
416,187,171,2025-11-06,6,completed,employed,18800.0,
417,187,171,2026-05-05,12,completed,unemployed,,Family circumstances changed
418,188,172,2025-08-23,3,completed,employed,14200.0,
419,188,172,2025-11-21,6,completed,employed,14500.0,
420,188,172,2026-05-20,12,completed,employed,15300.0,
421,193,176,2025-08-17,3,completed,employed,19200.0,
422,193,176,2025-11-15,6,completed,employed,20100.0,
423,193,176,2026-05-14,12,completed,employed,21500.0,
424,194,177,2025-07-25,3,missed,,,
425,194,177,2025-10-23,6,completed,employed,16100.0,
426,194,177,2026-04-21,12,completed,employed,17300.0,
427,195,178,2025-08-01,3,completed,employed,19200.0,
428,195,178,2025-10-30,6,completed,employed,20200.0,
429,195,178,2026-04-28,12,completed,employed,21200.0,
430,196,179,2025-08-05,3,completed,employed,17800.0,
431,196,179,2025-11-03,6,completed,employed,18300.0,
432,196,179,2026-05-02,12,completed,employed,20100.0,
433,197,180,2025-07-23,3,completed,employed,15000.0,
434,197,180,2025-10-21,6,completed,employed,16300.0,
435,197,180,2026-04-19,12,completed,employed,17900.0,
436,199,181,2025-08-21,3,completed,unemployed,,Family circumstances changed
437,199,181,2025-11-19,6,completed,unemployed,,
438,199,181,2026-05-18,12,completed,unemployed,,
439,201,183,2025-08-01,3,missed,,,
440,201,183,2025-10-30,6,completed,employed,17900.0,
441,201,183,2026-04-28,12,completed,employed,18600.0,
442,202,184,2025-08-21,3,completed,employed,18800.0,
443,202,184,2025-11-19,6,completed,employed,20700.0,
444,202,184,2026-05-18,12,missed,,,
445,203,185,2025-09-09,3,completed,employed,15300.0,
446,203,185,2025-12-08,6,completed,employed,16400.0,
447,203,185,2026-06-06,12,missed,,,
448,204,186,2025-07-18,3,completed,employed,12800.0,
449,204,186,2025-10-16,6,completed,employed,13300.0,
450,204,186,2026-04-14,12,completed,unemployed,,Workplace conditions / employer issues
451,206,188,2025-01-11,3,completed,employed,14200.0,
452,206,188,2025-04-11,6,completed,employed,14600.0,
453,206,188,2025-10-08,12,missed,,,
454,207,189,2025-02-24,3,completed,employed,16500.0,
455,207,189,2025-05-25,6,completed,employed,17000.0,
456,207,189,2025-11-21,12,completed,employed,17200.0,
457,208,190,2025-02-25,3,completed,employed,16500.0,
458,208,190,2025-05-26,6,completed,employed,17900.0,
459,208,190,2025-11-22,12,missed,,,
460,209,191,2025-03-18,3,completed,employed,14500.0,
461,209,191,2025-06-16,6,completed,unemployed,,Job did not match trained skillset
462,209,191,2025-12-13,12,completed,unemployed,,
463,210,192,2025-01-19,3,completed,employed,19300.0,
464,210,192,2025-04-19,6,completed,employed,20000.0,
465,210,192,2025-10-16,12,missed,,,
466,211,193,2025-03-21,3,completed,employed,16000.0,
467,211,193,2025-06-19,6,completed,employed,16500.0,
468,211,193,2025-12-16,12,completed,employed,17000.0,
469,213,195,2025-02-10,3,completed,employed,15800.0,
470,213,195,2025-05-11,6,completed,employed,15500.0,
471,213,195,2025-11-07,12,completed,employed,15800.0,
472,216,197,2025-03-01,3,missed,,,
473,216,197,2025-05-30,6,missed,,,
474,216,197,2025-11-26,12,completed,employed,16200.0,
475,217,198,2025-03-18,3,completed,employed,14000.0,
476,217,198,2025-06-16,6,missed,,,
477,217,198,2025-12-13,12,completed,employed,15000.0,
478,218,199,2025-01-20,3,completed,employed,15700.0,
479,218,199,2025-04-20,6,completed,employed,16500.0,
480,218,199,2025-10-17,12,completed,employed,16700.0,
481,221,201,2025-01-22,3,completed,employed,19200.0,
482,221,201,2025-04-22,6,missed,,,
483,221,201,2025-10-19,12,completed,employed,19700.0,
484,223,203,2025-03-17,3,completed,employed,19700.0,
485,223,203,2025-06-15,6,completed,employed,21200.0,
486,223,203,2025-12-12,12,completed,employed,23900.0,
487,224,204,2025-01-13,3,completed,employed,14200.0,
488,224,204,2025-04-13,6,completed,employed,14800.0,
489,224,204,2025-10-10,12,completed,employed,15200.0,
490,225,205,2025-02-13,3,completed,employed,19200.0,
491,225,205,2025-05-14,6,completed,employed,19100.0,
492,225,205,2025-11-10,12,completed,employed,19000.0,
493,227,207,2025-01-16,3,missed,,,
494,227,207,2025-04-16,6,completed,employed,17900.0,
495,227,207,2025-10-13,12,missed,,,
496,228,208,2025-02-04,3,missed,,,
497,228,208,2025-05-05,6,completed,employed,13900.0,
498,228,208,2025-11-01,12,completed,employed,14500.0,
499,229,209,2025-02-01,3,missed,,,
500,229,209,2025-05-02,6,completed,unemployed,,Job did not match trained skillset
501,229,209,2025-10-29,12,completed,unemployed,,
502,230,210,2025-01-10,3,completed,unemployed,,Moved to a better opportunity
503,230,210,2025-04-10,6,completed,unemployed,,
504,230,210,2025-10-07,12,completed,unemployed,,
505,231,211,2025-02-01,3,completed,employed,18500.0,
506,231,211,2025-05-02,6,missed,,,
507,231,211,2025-10-29,12,completed,employed,19300.0,
508,233,213,2025-03-14,3,completed,employed,14700.0,
509,233,213,2025-06-12,6,completed,employed,15600.0,
510,233,213,2025-12-09,12,missed,,,
511,235,214,2025-02-22,3,completed,employed,19700.0,
512,235,214,2025-05-23,6,missed,,,
513,235,214,2025-11-19,12,completed,employed,21400.0,
514,236,215,2025-02-21,3,missed,,,
515,236,215,2025-05-22,6,completed,employed,15600.0,
516,236,215,2025-11-18,12,completed,employed,15700.0,
517,237,216,2025-02-17,3,completed,employed,19200.0,
518,237,216,2025-05-18,6,completed,employed,20000.0,
519,237,216,2025-11-14,12,missed,,,
520,238,217,2025-01-21,3,completed,employed,14400.0,
521,238,217,2025-04-21,6,completed,employed,15000.0,
522,238,217,2025-10-18,12,completed,employed,16300.0,
523,239,218,2025-03-20,3,completed,employed,15700.0,
524,239,218,2025-06-18,6,completed,employed,16100.0,
525,239,218,2025-12-15,12,completed,employed,15700.0,
526,240,219,2025-03-11,3,completed,employed,16300.0,
