trainee_id,district,state,gender,category,dob_year,consent_flag,course,course_sector,provider,training_start_date,training_end_date,completion_status,assessment_score,certification_id,placement_type,job_title,job_sector,employer,placement_start_date,verification_status,non_placement_reason,employment_status,attrition_reason,initial_wage,wage_3_month,wage_6_month,wage_12_month
13,Ghaziabad,Uttar Pradesh,Female,SC,2007,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,52.8,CERT-13,wage_employment,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-06-05,confirmed,,active,,18900.0,20300.0,22300.0,22900.0
14,Gautam Buddh Nagar,Uttar Pradesh,Female,ST,2002,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,88.3,CERT-14,wage_employment,IT/ITES Associate,IT/ITES,Kapoor and Sons,2025-05-19,confirmed,,active,,17100.0,18100.0,17700.0,17900.0
15,Faridabad,Haryana,Female,ST,2006,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,55.1,CERT-15,wage_employment,IT/ITES Associate,IT/ITES,Kaul PLC,2025-06-28,unverified,,active,,18500.0,18100.0,18700.0,19100.0
16,Faridabad,Haryana,Other,SC,1995,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,89.2,CERT-16,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,Kaul PLC,2025-06-01,confirmed,,active,,17000.0,17900.0,18800.0,19300.0
17,Faridabad,Haryana,Other,OBC,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,65.4,CERT-17,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-04-21,unverified,,active,,14500.0,14800.0,14800.0,15100.0
18,Jaipur,Rajasthan,Female,ST,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,84.8,CERT-18,not_placed,,,,,unverified,Wage offered too low,,,,,,
19,Jaipur,Rajasthan,Other,OBC,2005,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,49.1,CERT-19,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-06-29,confirmed,,ended,Commute / relocation issues,16300.0,17300.0,17900.0,
20,Faridabad,Haryana,Other,OBC,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,59.5,CERT-20,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,"Bala, Issac and Saini",2025-06-11,unverified,,active,,16200.0,16700.0,17200.0,17300.0
21,Faridabad,Haryana,Female,ST,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,dropped_out,73.6,,,,,,,,,,,,,,
22,Gurugram,Haryana,Other,General,1997,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,79.5,CERT-22,apprenticeship,IT/ITES Associate,IT/ITES,Kapoor and Sons,2025-04-23,unverified,,active,,17600.0,18700.0,19500.0,21200.0
23,Gautam Buddh Nagar,Uttar Pradesh,Female,SC,1997,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,76.8,CERT-23,apprenticeship,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-06-04,unverified,,active,,15500.0,15600.0,17100.0,18700.0
24,Jaipur,Rajasthan,Male,OBC,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,49.6,CERT-24,not_placed,,,,,unverified,Wage offered too low,,,,,,
25,Faridabad,Haryana,Male,General,2002,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,62.2,CERT-25,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-06-03,confirmed,,active,,14100.0,14400.0,14900.0,15600.0
26,Jaipur,Rajasthan,Male,ST,2006,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,74.2,CERT-26,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-05-23,confirmed,,active,,17400.0,18500.0,18800.0,20000.0
27,Gurugram,Haryana,Other,ST,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,45.7,CERT-27,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-05-14,disputed,,active,,16500.0,17800.0,17500.0,18500.0
28,Gurugram,Haryana,Male,General,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,84.2,CERT-28,not_placed,,,,,unverified,Wage offered too low,,,,,,
29,Ghaziabad,Uttar Pradesh,Other,General,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,54.2,CERT-29,wage_employment,IT/ITES Associate,IT/ITES,Balan Inc,2025-06-20,confirmed,,active,,14400.0,14400.0,14600.0,
30,Ghaziabad,Uttar Pradesh,Female,OBC,1992,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,76.5,CERT-30,not_placed,,,,,unverified,No suitable openings in area,,,,,,
31,Faridabad,Haryana,Male,SC,1993,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,95.0,CERT-31,wage_employment,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-04-26,unverified,,active,,17600.0,18100.0,18200.0,19600.0
32,Gautam Buddh Nagar,Uttar Pradesh,Male,ST,1995,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,60.3,CERT-32,not_placed,,,,,unverified,Felt underprepared / skill mismatch,,,,,,
33,Jaipur,Rajasthan,Male,General,1991,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,62.1,CERT-33,not_placed,,,,,unverified,Job location too far / relocation not feasible,,,,,,
34,Jaipur,Rajasthan,Other,ST,1990,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,54.9,CERT-34,self_employment,IT/ITES Associate,IT/ITES,,2025-06-16,unverified,,active,,16700.0,17200.0,19200.0,
35,Ghaziabad,Uttar Pradesh,Other,SC,2005,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,59.5,CERT-35,not_placed,,,,,unverified,Health-related reasons,,,,,,
36,Ghaziabad,Uttar Pradesh,Other,OBC,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,93.9,CERT-36,self_employment,IT/ITES Associate,IT/ITES,,2025-04-29,confirmed,,active,,14800.0,15300.0,16100.0,17200.0
37,Ghaziabad,Uttar Pradesh,Female,SC,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,82.4,CERT-37,not_placed,,,,,unverified,Job location too far / relocation not feasible,,,,,,
38,Ghaziabad,Uttar Pradesh,Female,OBC,2005,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,76.3,CERT-38,not_placed,,,,,unverified,Felt underprepared / skill mismatch,,,,,,
39,Faridabad,Haryana,Other,ST,1993,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,dropped_out,52.6,,,,,,,,,,,,,,
40,Ghaziabad,Uttar Pradesh,Male,SC,1992,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,81.7,CERT-40,self_employment,IT/ITES Associate,IT/ITES,,2025-06-28,confirmed,,ended,Commute / relocation issues,17100.0,19300.0,21300.0,
41,Gautam Buddh Nagar,Uttar Pradesh,Male,SC,1999,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,57.9,CERT-41,self_employment,IT/ITES Associate,IT/ITES,,2025-05-14,unverified,,active,,15800.0,16800.0,17500.0,18100.0
42,Faridabad,Haryana,Male,SC,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,65.4,CERT-42,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,Kaul PLC,2025-06-05,confirmed,,active,,13000.0,12900.0,13700.0,13400.0
43,Ghaziabad,Uttar Pradesh,Other,OBC,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,92.9,CERT-43,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,Balan Inc,2025-04-25,confirmed,,active,,13800.0,14000.0,14500.0,15900.0
44,Gautam Buddh Nagar,Uttar Pradesh,Female,OBC,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,57.0,CERT-44,self_employment,IT/ITES Associate,IT/ITES,,2025-06-10,confirmed,,active,,17500.0,18400.0,18700.0,20000.0
45,Faridabad,Haryana,Other,ST,1999,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,47.4,CERT-45,apprenticeship,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-05-03,confirmed,,active,,13900.0,15100.0,16300.0,17200.0
46,Gurugram,Haryana,Other,SC,2007,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,dropped_out,59.6,,,,,,,,,,,,,,
47,Gautam Buddh Nagar,Uttar Pradesh,Female,OBC,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,76.6,CERT-47,self_employment,IT/ITES Associate,IT/ITES,,2025-05-22,confirmed,,active,,16600.0,17500.0,19400.0,21300.0
48,Gautam Buddh Nagar,Uttar Pradesh,Male,General,1995,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,67.3,CERT-48,wage_employment,IT/ITES Associate,IT/ITES,Balan Inc,2025-06-06,unverified,,active,,18800.0,19700.0,20800.0,
49,Gautam Buddh Nagar,Uttar Pradesh,Male,SC,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,76.7,CERT-49,wage_employment,IT/ITES Associate,IT/ITES,Balan Inc,2025-05-03,unverified,,active,,14400.0,15000.0,15900.0,16800.0
50,Gurugram,Haryana,Other,General,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,74.8,CERT-50,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-06-14,unverified,,active,,16500.0,17300.0,18400.0,20300.0
51,Jaipur,Rajasthan,Other,SC,1990,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,dropped_out,59.5,,,,,,,,,,,,,,
52,Gurugram,Haryana,Male,General,2000,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,52.6,CERT-52,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-04-24,confirmed,,active,,13900.0,15100.0,15600.0,
53,Faridabad,Haryana,Male,ST,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,56.4,CERT-53,wage_employment,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-05-27,unverified,,active,,13300.0,13400.0,14400.0,
54,Jaipur,Rajasthan,Other,SC,1997,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,dropped_out,90.7,,,,,,,,,,,,,,
55,Gautam Buddh Nagar,Uttar Pradesh,Female,ST,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,90.7,CERT-55,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-06-13,confirmed,,active,,18500.0,18900.0,19600.0,
56,Ghaziabad,Uttar Pradesh,Other,General,1992,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,55.3,CERT-56,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-05-09,confirmed,,active,,17500.0,18700.0,18800.0,19000.0
57,Gurugram,Haryana,Other,General,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,48.9,CERT-57,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-05-27,unverified,,active,,16400.0,17800.0,19200.0,
58,Ghaziabad,Uttar Pradesh,Female,ST,1991,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,72.8,CERT-58,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,"Chaudry, Chahal and Sami",2025-06-09,confirmed,,ended,Family circumstances changed,16800.0,17000.0,17500.0,
59,Gurugram,Haryana,Other,ST,1999,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,82.6,CERT-59,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-06-02,unverified,,active,,16100.0,16300.0,17500.0,
60,Gautam Buddh Nagar,Uttar Pradesh,Other,General,2006,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,91.4,CERT-60,wage_employment,IT/ITES Associate,IT/ITES,Kapoor and Sons,2025-05-11,confirmed,,active,,17100.0,17800.0,19600.0,19600.0
61,Faridabad,Haryana,Male,ST,1999,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,88.3,CERT-61,not_placed,,,,,unverified,Wage offered too low,,,,,,
62,Gurugram,Haryana,Other,ST,1991,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,74.4,CERT-62,self_employment,IT/ITES Associate,IT/ITES,,2025-05-06,confirmed,,active,,18500.0,20100.0,21000.0,23100.0
63,Ghaziabad,Uttar Pradesh,Female,SC,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,70.0,CERT-63,not_placed,,,,,unverified,Felt underprepared / skill mismatch,,,,,,
64,Faridabad,Haryana,Other,General,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,46.0,CERT-64,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-06-27,confirmed,,ended,Commute / relocation issues,16800.0,18000.0,18500.0,
65,Jaipur,Rajasthan,Female,General,2003,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,64.1,CERT-65,not_placed,,,,,unverified,Family responsibilities / not permitted to work,,,,,,
66,Jaipur,Rajasthan,Female,ST,2007,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,47.3,CERT-66,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-04-23,confirmed,,active,,16300.0,17200.0,17400.0,17500.0
67,Gautam Buddh Nagar,Uttar Pradesh,Female,SC,1996,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,72.3,CERT-67,not_placed,,,,,unverified,Family responsibilities / not permitted to work,,,,,,
68,Gurugram,Haryana,Other,OBC,1991,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,90.7,CERT-68,self_employment,IT/ITES Associate,IT/ITES,,2025-05-25,unverified,,active,,16000.0,17200.0,17400.0,17800.0
69,Gurugram,Haryana,Other,ST,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,68.5,CERT-69,self_employment,IT/ITES Associate,IT/ITES,,2025-03-10,unverified,,active,,17800.0,18200.0,19200.0,20100.0
70,Jaipur,Rajasthan,Other,ST,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,64.7,CERT-70,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,Kaul PLC,2025-03-11,confirmed,,active,,18500.0,19800.0,21000.0,
71,Gautam Buddh Nagar,Uttar Pradesh,Female,ST,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,88.0,CERT-71,not_placed,,,,,unverified,Health-related reasons,,,,,,
72,Gurugram,Haryana,Other,SC,1992,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,90.1,CERT-72,apprenticeship,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-02-15,unverified,,active,,16000.0,15500.0,16500.0,16900.0
73,Ghaziabad,Uttar Pradesh,Other,General,2000,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,81.0,CERT-73,self_employment,IT/ITES Associate,IT/ITES,,2025-04-04,unverified,,active,,14800.0,15800.0,17800.0,18200.0
74,Ghaziabad,Uttar Pradesh,Female,SC,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,74.9,CERT-74,not_placed,,,,,unverified,Wage offered too low,,,,,,
75,Gautam Buddh Nagar,Uttar Pradesh,Other,OBC,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,67.1,CERT-75,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-04-03,confirmed,,active,,13400.0,14100.0,15300.0,
76,Faridabad,Haryana,Male,General,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,69.7,CERT-76,wage_employment,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-01-30,unverified,,ended,Left due to low wage relative to workload,14000.0,15100.0,15400.0,
77,Jaipur,Rajasthan,Male,General,2005,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,67.8,CERT-77,not_placed,,,,,unverified,Pursuing further education,,,,,,
78,Faridabad,Haryana,Female,ST,2001,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,dropped_out,74.8,,,,,,,,,,,,,,
79,Gurugram,Haryana,Male,General,2007,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,68.9,CERT-79,self_employment,IT/ITES Associate,IT/ITES,,2025-02-08,confirmed,,active,,17500.0,18300.0,19300.0,20000.0
80,Jaipur,Rajasthan,Other,SC,1999,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,72.0,CERT-80,wage_employment,IT/ITES Associate,IT/ITES,Balan Inc,2025-01-26,confirmed,,active,,14600.0,15200.0,15900.0,17000.0
81,Gautam Buddh Nagar,Uttar Pradesh,Female,ST,1996,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,53.0,CERT-81,wage_employment,IT/ITES Associate,IT/ITES,Kaul PLC,2025-03-25,unverified,,active,,16400.0,16300.0,17900.0,18900.0
82,Ghaziabad,Uttar Pradesh,Other,SC,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,96.6,CERT-82,wage_employment,IT/ITES Associate,IT/ITES,Kapoor and Sons,2025-03-27,confirmed,,active,,17100.0,18400.0,18000.0,18800.0
83,Jaipur,Rajasthan,Other,SC,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,77.6,CERT-83,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-04-01,confirmed,,active,,17600.0,17600.0,19300.0,
84,Gurugram,Haryana,Other,General,1999,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,49.7,CERT-84,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-01-28,unverified,,active,,18800.0,19600.0,21100.0,22200.0
85,Jaipur,Rajasthan,Male,OBC,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,62.5,CERT-85,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-02-16,confirmed,,active,,17000.0,18000.0,19100.0,21100.0
86,Gurugram,Haryana,Female,General,1997,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,53.5,CERT-86,apprenticeship,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-03-04,unverified,,active,,15900.0,16000.0,16800.0,16700.0
87,Gautam Buddh Nagar,Uttar Pradesh,Male,SC,2006,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,dropped_out,74.9,,,,,,,,,,,,,,
88,Gautam Buddh Nagar,Uttar Pradesh,Other,OBC,2007,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,52.9,CERT-88,wage_employment,IT/ITES Associate,IT/ITES,"Choudhury, Bakshi and Maharaj",2025-02-19,unverified,,active,,15700.0,15900.0,16700.0,
89,Gurugram,Haryana,Other,General,1992,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,48.7,CERT-89,not_placed,,,,,unverified,Wage offered too low,,,,,,
90,Faridabad,Haryana,Female,ST,1995,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,92.2,CERT-90,apprenticeship,IT/ITES Helper (low-relevance role),IT/ITES,Balan Inc,2025-03-13,confirmed,,active,,15100.0,15000.0,,
91,Gurugram,Haryana,Other,ST,2004,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,88.6,CERT-91,wage_employment,IT/ITES Associate,IT/ITES,"Chaudry, Chahal and Sami",2025-02-17,unverified,,active,,18600.0,20200.0,21500.0,
92,Faridabad,Haryana,Other,OBC,1997,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,86.1,CERT-92,apprenticeship,IT/ITES Helper (low-relevance role),IT/ITES,Kapoor and Sons,2025-03-05,unverified,,active,,16100.0,16400.0,17400.0,
93,Gurugram,Haryana,Other,SC,2002,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,66.6,CERT-93,wage_employment,IT/ITES Associate,IT/ITES,Kaul PLC,2025-03-25,confirmed,,active,,16300.0,16600.0,,
94,Ghaziabad,Uttar Pradesh,Male,ST,1991,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2024-10-27,2025-01-19,completed,77.0,CERT-94,not_placed,,,,,unverified,Wage offered too low,,,,,,
