placement_id,trainee_id,training_id,placement_type,employer_id,job_title,job_sector,start_date,source,verification_status,non_placement_reason_text
51,56,56,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-05-09,dashboard,confirmed,
52,57,57,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-05-27,dashboard,unverified,
53,58,58,wage_employment,3.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-06-09,dashboard,confirmed,
54,59,59,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-06-02,dashboard,unverified,
55,60,60,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-05-11,dashboard,confirmed,
56,61,61,not_placed,,,,,dashboard,unverified,Wage offered too low
57,62,62,self_employment,,IT/ITES Associate,IT/ITES,2025-05-06,dashboard,confirmed,
58,63,63,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
59,64,64,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-06-27,dashboard,confirmed,
60,65,65,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
61,66,66,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-04-23,dashboard,confirmed,
62,67,67,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
63,68,68,self_employment,,IT/ITES Associate,IT/ITES,2025-05-25,dashboard,unverified,
64,69,69,self_employment,,IT/ITES Associate,IT/ITES,2025-03-10,dashboard,unverified,
65,70,70,wage_employment,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-03-11,dashboard,confirmed,
66,71,71,not_placed,,,,,dashboard,unverified,Health-related reasons
67,72,72,apprenticeship,6.0,IT/ITES Associate,IT/ITES,2025-02-15,dashboard,unverified,
68,73,73,self_employment,,IT/ITES Associate,IT/ITES,2025-04-04,dashboard,unverified,
69,74,74,not_placed,,,,,dashboard,unverified,Wage offered too low
70,75,75,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-04-03,dashboard,confirmed,
71,76,76,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-01-30,dashboard,unverified,
72,77,77,not_placed,,,,,dashboard,unverified,Pursuing further education
73,79,79,self_employment,,IT/ITES Associate,IT/ITES,2025-02-08,dashboard,confirmed,
74,80,80,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-01-26,dashboard,confirmed,
75,81,81,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-03-25,dashboard,unverified,
76,82,82,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-03-27,dashboard,confirmed,
77,83,83,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-04-01,dashboard,confirmed,
78,84,84,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-01-28,dashboard,unverified,
79,85,85,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-02-16,dashboard,confirmed,
80,86,86,apprenticeship,6.0,IT/ITES Associate,IT/ITES,2025-03-04,dashboard,unverified,
81,88,88,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-02-19,dashboard,unverified,
82,89,89,not_placed,,,,,dashboard,unverified,Wage offered too low
83,90,90,apprenticeship,4.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-03-13,dashboard,confirmed,
84,91,91,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-02-17,dashboard,unverified,
85,92,92,apprenticeship,2.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-03-05,dashboard,unverified,
86,93,93,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-03-25,dashboard,confirmed,
87,94,94,not_placed,,,,,dashboard,unverified,Wage offered too low
88,95,95,apprenticeship,2.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-02-17,dashboard,disputed,
89,96,96,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-04-04,dashboard,unverified,
90,97,97,self_employment,,IT/ITES Associate,IT/ITES,2025-01-30,dashboard,unverified,
91,98,98,apprenticeship,2.0,IT/ITES Associate,IT/ITES,2025-02-06,dashboard,confirmed,
92,100,100,not_placed,,,,,dashboard,unverified,Health-related reasons
93,101,101,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-02-28,dashboard,unverified,
94,103,103,self_employment,,IT/ITES Associate,IT/ITES,2025-03-22,dashboard,confirmed,
95,104,104,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-02-06,dashboard,confirmed,
96,105,105,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-03-23,dashboard,confirmed,
97,106,106,apprenticeship,2.0,IT/ITES Associate,IT/ITES,2025-04-03,dashboard,confirmed,
98,107,107,wage_employment,6.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-03-18,dashboard,confirmed,
99,109,109,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-02-12,dashboard,confirmed,
100,110,110,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-03-19,dashboard,disputed,
101,111,111,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-02-07,dashboard,confirmed,
102,112,112,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
103,113,113,self_employment,,IT/ITES Associate,IT/ITES,2025-03-17,dashboard,unverified,
104,114,114,self_employment,,IT/ITES Associate,IT/ITES,2025-02-24,dashboard,confirmed,
105,115,115,apprenticeship,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-02-05,dashboard,confirmed,
106,117,117,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-01-24,dashboard,confirmed,
107,118,118,not_placed,,,,,dashboard,unverified,Wage offered too low
108,119,119,self_employment,,IT/ITES Associate,IT/ITES,2025-02-14,dashboard,unverified,
109,120,120,self_employment,,IT/ITES Associate,IT/ITES,2025-02-10,dashboard,confirmed,
110,121,121,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-03-01,dashboard,unverified,
111,122,122,self_employment,,IT/ITES Associate,IT/ITES,2025-03-25,dashboard,confirmed,
112,123,123,self_employment,,IT/ITES Associate,IT/ITES,2025-02-01,dashboard,confirmed,
113,124,124,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
114,125,125,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-03-07,dashboard,confirmed,
115,126,126,apprenticeship,1.0,IT/ITES Associate,IT/ITES,2025-04-04,dashboard,unverified,
116,128,128,self_employment,,IT/ITES Associate,IT/ITES,2025-02-18,dashboard,unverified,
117,129,129,self_employment,,IT/ITES Associate,IT/ITES,2025-03-12,dashboard,confirmed,
118,130,130,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-03-22,dashboard,confirmed,
119,131,131,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-02-09,dashboard,confirmed,
120,132,132,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-03-02,dashboard,confirmed,
121,133,133,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-01-31,dashboard,confirmed,
122,134,134,apprenticeship,5.0,IT/ITES Associate,IT/ITES,2025-02-11,dashboard,disputed,
123,135,135,self_employment,,IT/ITES Associate,IT/ITES,2025-03-11,dashboard,disputed,
124,136,136,apprenticeship,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-01-28,dashboard,confirmed,
125,137,137,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-05-26,dashboard,confirmed,
126,138,138,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-05-17,dashboard,unverified,
127,139,139,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-06-04,dashboard,confirmed,
128,140,140,apprenticeship,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-05-03,dashboard,unverified,
129,141,141,apprenticeship,4.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-04-29,dashboard,disputed,
130,142,142,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-04-23,dashboard,unverified,
131,144,144,not_placed,,,,,dashboard,unverified,Wage offered too low
132,145,145,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-06-05,dashboard,unverified,
133,146,146,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-06-13,dashboard,unverified,
134,147,147,self_employment,,IT/ITES Associate,IT/ITES,2025-05-13,dashboard,confirmed,
135,148,148,wage_employment,3.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-05-07,dashboard,unverified,
136,149,149,apprenticeship,2.0,IT/ITES Associate,IT/ITES,2025-05-17,dashboard,unverified,
137,150,150,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-04-13,dashboard,confirmed,
138,151,151,self_employment,,IT/ITES Associate,IT/ITES,2025-06-05,dashboard,unverified,
139,152,152,self_employment,,IT/ITES Associate,IT/ITES,2025-05-18,dashboard,unverified,
140,153,153,wage_employment,6.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-04-08,dashboard,unverified,
141,154,154,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-06-08,dashboard,unverified,
142,155,155,apprenticeship,6.0,IT/ITES Associate,IT/ITES,2025-05-03,dashboard,confirmed,
143,156,156,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-04-27,dashboard,confirmed,
144,157,157,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
145,159,159,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-05-05,dashboard,confirmed,
146,160,160,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-05-22,dashboard,confirmed,
147,161,161,self_employment,,IT/ITES Associate,IT/ITES,2025-05-02,dashboard,unverified,
148,162,162,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-04-28,dashboard,confirmed,
149,163,163,not_placed,,,,,dashboard,unverified,Wage offered too low
150,164,164,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-05-17,dashboard,disputed,
151,165,165,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-05-27,dashboard,unverified,
152,166,166,self_employment,,IT/ITES Associate,IT/ITES,2025-05-10,dashboard,confirmed,
153,167,167,not_placed,,,,,dashboard,unverified,Pursuing further education
154,168,168,self_employment,,IT/ITES Associate,IT/ITES,2025-04-04,dashboard,confirmed,
155,169,169,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-05-16,dashboard,disputed,
156,171,171,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-04-16,dashboard,unverified,
157,173,173,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-04-06,dashboard,confirmed,
158,174,174,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-04-21,dashboard,unverified,
159,175,175,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-06-08,dashboard,confirmed,
160,176,176,apprenticeship,3.0,IT/ITES Associate,IT/ITES,2025-04-20,dashboard,confirmed,
161,177,177,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-04-17,dashboard,unverified,
162,178,178,self_employment,,IT/ITES Associate,IT/ITES,2025-05-11,dashboard,confirmed,
163,179,179,wage_employment,1.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-04-30,dashboard,confirmed,
164,180,180,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
165,181,181,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-04-27,dashboard,unverified,
166,182,182,apprenticeship,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-05-25,dashboard,confirmed,
167,183,183,self_employment,,IT/ITES Associate,IT/ITES,2025-06-07,dashboard,unverified,
168,184,184,self_employment,,IT/ITES Associate,IT/ITES,2025-04-16,dashboard,unverified,
169,185,185,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-05-28,dashboard,unverified,
170,186,186,self_employment,,IT/ITES Associate,IT/ITES,2025-04-10,dashboard,confirmed,
171,187,187,self_employment,,IT/ITES Associate,IT/ITES,2025-05-10,dashboard,confirmed,
172,188,188,apprenticeship,4.0,IT/ITES Associate,IT/ITES,2025-05-25,dashboard,confirmed,
173,189,189,not_placed,,,,,dashboard,unverified,Wage offered too low
174,190,190,not_placed,,,,,dashboard,unverified,Wage offered too low
175,192,192,not_placed,,,,,dashboard,unverified,Pursuing further education
176,193,193,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-05-19,dashboard,unverified,
177,194,194,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-04-26,dashboard,unverified,
178,195,195,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-05-03,dashboard,unverified,
179,196,196,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-05-07,dashboard,confirmed,
180,197,197,apprenticeship,1.0,IT/ITES Associate,IT/ITES,2025-04-24,dashboard,confirmed,
181,199,199,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-05-23,dashboard,confirmed,
182,200,200,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
183,201,201,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-05-03,dashboard,confirmed,
184,202,202,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-05-23,dashboard,unverified,
185,203,203,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-06-11,dashboard,confirmed,
186,204,204,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-04-19,dashboard,disputed,
187,205,205,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
188,206,206,wage_employment,2.0,IT/ITES Associate,IT/ITES,2024-10-13,dashboard,unverified,
189,207,207,self_employment,,IT/ITES Helper (low-relevance role),IT/ITES,2024-11-26,dashboard,unverified,
190,208,208,self_employment,,IT/ITES Associate,IT/ITES,2024-11-27,dashboard,unverified,
191,209,209,wage_employment,4.0,IT/ITES Associate,IT/ITES,2024-12-18,dashboard,confirmed,
192,210,210,wage_employment,3.0,IT/ITES Associate,IT/ITES,2024-10-21,dashboard,confirmed,
193,211,211,apprenticeship,3.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-12-21,dashboard,disputed,
194,212,212,not_placed,,,,,dashboard,unverified,Wage offered too low
195,213,213,wage_employment,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-11-12,dashboard,confirmed,
196,214,214,not_placed,,,,,dashboard,unverified,Wage offered too low
197,216,216,self_employment,,IT/ITES Associate,IT/ITES,2024-12-01,dashboard,disputed,
198,217,217,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-12-18,dashboard,confirmed,
199,218,218,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-10-22,dashboard,unverified,
200,219,219,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
201,221,221,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-10-24,dashboard,unverified,
202,222,222,not_placed,,,,,dashboard,unverified,Wage offered too low
203,223,223,self_employment,,IT/ITES Associate,IT/ITES,2024-12-17,dashboard,disputed,
204,224,224,wage_employment,2.0,IT/ITES Associate,IT/ITES,2024-10-15,dashboard,unverified,
205,225,225,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-11-15,dashboard,disputed,
206,226,226,not_placed,,,,,dashboard,unverified,Wage offered too low
207,227,227,self_employment,,IT/ITES Associate,IT/ITES,2024-10-18,dashboard,confirmed,
208,228,228,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-11-06,dashboard,unverified,
209,229,229,self_employment,,IT/ITES Associate,IT/ITES,2024-11-03,dashboard,confirmed,
210,230,230,wage_employment,5.0,IT/ITES Associate,IT/ITES,2024-10-12,dashboard,confirmed,
211,231,231,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-11-03,dashboard,confirmed,
212,232,232,not_placed,,,,,dashboard,unverified,Health-related reasons
213,233,233,apprenticeship,5.0,IT/ITES Associate,IT/ITES,2024-12-14,dashboard,unverified,
214,235,235,wage_employment,3.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-11-24,dashboard,disputed,
215,236,236,wage_employment,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-11-23,dashboard,unverified,
216,237,237,self_employment,,IT/ITES Associate,IT/ITES,2024-11-19,dashboard,confirmed,
217,238,238,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-10-23,dashboard,confirmed,
218,239,239,self_employment,,IT/ITES Associate,IT/ITES,2024-12-20,dashboard,confirmed,
219,240,240,self_employment,,IT/ITES Associate,IT/ITES,2024-12-11,dashboard,confirmed,
220,241,241,wage_employment,5.0,IT/ITES Associate,IT/ITES,2024-10-21,dashboard,confirmed,
221,242,242,wage_employment,4.0,IT/ITES Associate,IT/ITES,2024-10-20,dashboard,unverified,
222,243,243,apprenticeship,4.0,IT/ITES Associate,IT/ITES,2024-11-25,dashboard,unverified,
223,244,244,wage_employment,2.0,IT/ITES Associate,IT/ITES,2024-12-11,dashboard,unverified,
224,245,245,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
225,246,246,wage_employment,4.0,IT/ITES Associate,IT/ITES,2024-12-20,dashboard,unverified,
226,247,247,self_employment,,IT/ITES Associate,IT/ITES,2024-12-20,dashboard,confirmed,
227,248,248,wage_employment,4.0,IT/ITES Associate,IT/ITES,2024-10-22,dashboard,unverified,
228,249,249,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
229,250,250,self_employment,,IT/ITES Associate,IT/ITES,2024-10-18,dashboard,unverified,
230,251,251,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
231,252,252,self_employment,,IT/ITES Associate,IT/ITES,2024-11-11,dashboard,unverified,
232,254,254,self_employment,,IT/ITES Associate,IT/ITES,2024-11-04,dashboard,confirmed,
233,255,255,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-12-07,dashboard,confirmed,
234,256,256,wage_employment,5.0,IT/ITES Associate,IT/ITES,2024-11-26,dashboard,confirmed,
235,257,257,self_employment,,IT/ITES Helper (low-relevance role),IT/ITES,2024-11-11,dashboard,confirmed,
236,258,258,apprenticeship,5.0,IT/ITES Associate,IT/ITES,2024-10-17,dashboard,confirmed,
237,259,259,self_employment,,IT/ITES Associate,IT/ITES,2024-11-08,dashboard,confirmed,
238,260,260,self_employment,,IT/ITES Associate,IT/ITES,2024-12-11,dashboard,unverified,
239,261,261,wage_employment,2.0,IT/ITES Associate,IT/ITES,2024-12-11,dashboard,confirmed,
240,262,262,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-11-22,dashboard,confirmed,
241,263,263,wage_employment,3.0,IT/ITES Associate,IT/ITES,2024-10-28,dashboard,confirmed,
242,265,265,wage_employment,5.0,IT/ITES Associate,IT/ITES,2024-10-12,dashboard,confirmed,
243,266,266,self_employment,,IT/ITES Associate,IT/ITES,2024-11-28,dashboard,unverified,
244,267,267,wage_employment,3.0,IT/ITES Associate,IT/ITES,2024-11-27,dashboard,confirmed,
245,268,268,wage_employment,5.0,IT/ITES Associate,IT/ITES,2024-11-18,dashboard,unverified,
246,269,269,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-11-10,dashboard,unverified,
247,270,270,not_placed,,,,,dashboard,unverified,Pursuing further education
248,271,271,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
249,272,272,apprenticeship,2.0,IT/ITES Associate,IT/ITES,2024-11-28,dashboard,confirmed,
250,273,273,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-07-24,dashboard,unverified,
251,274,274,wage_employment,6.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-06-30,dashboard,confirmed,
252,275,275,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
253,276,276,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
254,277,277,wage_employment,3.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-06-22,dashboard,confirmed,
255,278,278,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
256,279,279,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-06-01,dashboard,confirmed,
257,280,280,wage_employment,4.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-07-06,dashboard,confirmed,
258,281,281,wage_employment,4.0,IT/ITES Associate,IT/ITES,2024-07-20,dashboard,unverified,
259,282,282,wage_employment,3.0,IT/ITES Associate,IT/ITES,2024-05-20,dashboard,confirmed,
260,283,283,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-05-27,dashboard,unverified,
261,284,284,self_employment,,IT/ITES Associate,IT/ITES,2024-06-20,dashboard,confirmed,
262,285,285,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-05-28,dashboard,confirmed,
263,286,286,wage_employment,2.0,IT/ITES Associate,IT/ITES,2024-06-01,dashboard,unverified,
264,287,287,self_employment,,IT/ITES Associate,IT/ITES,2024-07-23,dashboard,disputed,
265,288,288,apprenticeship,5.0,IT/ITES Associate,IT/ITES,2024-06-29,dashboard,confirmed,
266,289,289,self_employment,,IT/ITES Helper (low-relevance role),IT/ITES,2024-07-08,dashboard,confirmed,
267,290,290,wage_employment,5.0,IT/ITES Associate,IT/ITES,2024-07-05,dashboard,disputed,
268,291,291,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-07-13,dashboard,unverified,
269,292,292,wage_employment,3.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-07-13,dashboard,confirmed,
270,293,293,not_placed,,,,,dashboard,unverified,Wage offered too low
271,294,294,self_employment,,IT/ITES Associate,IT/ITES,2024-06-24,dashboard,confirmed,
272,295,295,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
273,296,296,not_placed,,,,,dashboard,unverified,Pursuing further education
274,297,297,self_employment,,IT/ITES Associate,IT/ITES,2024-05-30,dashboard,confirmed,
275,298,298,apprenticeship,1.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-06-04,dashboard,unverified,
276,299,299,self_employment,,IT/ITES Associate,IT/ITES,2024-06-17,dashboard,confirmed,
277,300,300,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-07-21,dashboard,confirmed,
278,301,301,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-07-14,dashboard,confirmed,
279,302,302,not_placed,,,,,dashboard,unverified,Wage offered too low
280,303,303,wage_employment,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2024-07-09,dashboard,confirmed,
281,305,305,apprenticeship,4.0,IT/ITES Associate,IT/ITES,2024-05-20,dashboard,confirmed,
282,306,306,wage_employment,4.0,IT/ITES Associate,IT/ITES,2024-05-27,dashboard,unverified,
283,307,307,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-05-24,dashboard,unverified,
284,308,308,wage_employment,3.0,IT/ITES Associate,IT/ITES,2024-07-19,dashboard,confirmed,
285,309,309,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
286,310,310,wage_employment,1.0,IT/ITES Associate,IT/ITES,2024-05-20,dashboard,unverified,
287,311,311,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-07-11,dashboard,disputed,
288,312,312,self_employment,,IT/ITES Associate,IT/ITES,2024-07-04,dashboard,confirmed,
289,313,313,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
290,316,316,wage_employment,6.0,IT/ITES Associate,IT/ITES,2024-07-07,dashboard,unverified,
291,317,317,wage_employment,2.0,IT/ITES Associate,IT/ITES,2024-06-04,dashboard,unverified,
292,318,318,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
