reason_id,category,reason_code,reason_label,raw_text,linked_placement_id,linked_history_id
96,non_placement,further_study,Pursuing further education,Pursuing further education,305,
97,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,307,
98,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,310,246.0
99,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,313,249.0
100,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,314,
101,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,321,256.0
102,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,324,259.0
103,non_placement,further_study,Pursuing further education,Pursuing further education,327,
104,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,331,
105,non_placement,low_wage,Wage offered too low,Wage offered too low,339,
106,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,359,
107,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,360,
108,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,361,
109,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,362,291.0
110,non_placement,further_study,Pursuing further education,Pursuing further education,366,
111,non_placement,low_wage,Wage offered too low,Wage offered too low,368,
112,non_placement,low_wage,Wage offered too low,Wage offered too low,372,
113,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,375,301.0
114,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,376,
115,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,377,302.0
116,non_placement,further_study,Pursuing further education,Pursuing further education,378,
117,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,380,
118,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,383,306.0
119,non_placement,further_study,Pursuing further education,Pursuing further education,384,
120,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,385,
121,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,389,
122,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,390,
123,non_placement,low_wage,Wage offered too low,Wage offered too low,391,
124,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,394,312.0
125,non_placement,low_wage,Wage offered too low,Wage offered too low,395,
126,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,396,
127,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,397,
128,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,399,
129,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,400,
130,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,401,
131,non_placement,further_study,Pursuing further education,Pursuing further education,402,
132,non_placement,further_study,Pursuing further education,Pursuing further education,404,
133,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,405,
134,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,406,
135,non_placement,low_wage,Wage offered too low,Wage offered too low,407,
136,non_placement,low_wage,Wage offered too low,Wage offered too low,412,
137,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,416,322.0
138,non_placement,low_wage,Wage offered too low,Wage offered too low,419,
139,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,421,326.0
140,non_placement,further_study,Pursuing further education,Pursuing further education,423,
141,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,424,
142,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,432,
143,non_placement,further_study,Pursuing further education,Pursuing further education,434,
144,non_placement,further_study,Pursuing further education,Pursuing further education,435,
145,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,436,
146,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,441,
147,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,442,
148,non_placement,low_wage,Wage offered too low,Wage offered too low,444,
149,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,448,
150,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,451,
151,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,453,347.0
152,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,455,349.0
153,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,461,355.0
154,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,462,
155,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,463,
156,non_placement,further_study,Pursuing further education,Pursuing further education,466,
157,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,468,359.0
158,attrition,family_reasons,Family circumstances changed,Family circumstances changed,472,363.0
159,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,476,367.0
160,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,477,368.0
161,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,478,
162,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,479,
163,non_placement,low_wage,Wage offered too low,Wage offered too low,480,
164,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,481,369.0
165,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,484,
166,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,486,373.0
167,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,488,375.0
168,non_placement,health,Health-related reasons,Health-related reasons,489,
169,non_placement,low_wage,Wage offered too low,Wage offered too low,490,
170,non_placement,health,Health-related reasons,Health-related reasons,492,
171,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,494,
172,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,496,
173,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,497,379.0
174,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,498,380.0
175,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,499,381.0
176,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,500,382.0
177,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,502,
178,non_placement,low_wage,Wage offered too low,Wage offered too low,504,
179,non_placement,low_wage,Wage offered too low,Wage offered too low,505,
180,non_placement,low_wage,Wage offered too low,Wage offered too low,507,
181,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,508,
182,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,512,389.0
183,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,513,390.0
184,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,514,391.0
185,attrition,family_reasons,Family circumstances changed,Family circumstances changed,515,392.0
186,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,516,393.0
187,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,518,
188,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,519,
189,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,520,
190,non_placement,low_wage,Wage offered too low,Wage offered too low,521,
191,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,525,
192,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,528,
193,non_placement,low_wage,Wage offered too low,Wage offered too low,529,
194,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,532,402.0
195,non_placement,low_wage,Wage offered too low,Wage offered too low,535,
196,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,540,
197,non_placement,low_wage,Wage offered too low,Wage offered too low,542,
198,non_placement,low_wage,Wage offered too low,Wage offered too low,547,
199,non_placement,low_wage,Wage offered too low,Wage offered too low,549,
200,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,550,
201,non_placement,further_study,Pursuing further education,Pursuing further education,551,
202,non_placement,low_wage,Wage offered too low,Wage offered too low,556,
203,non_placement,low_wage,Wage offered too low,Wage offered too low,557,
204,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,560,
205,non_placement,low_wage,Wage offered too low,Wage offered too low,563,
206,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,564,
207,attrition,workplace_issues,Workplace conditions / employer issues,Workplace conditions / employer issues,566,424.0
208,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,567,
209,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,577,434.0
210,non_placement,further_study,Pursuing further education,Pursuing further education,580,
211,non_placement,low_wage,Wage offered too low,Wage offered too low,582,
212,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,587,
213,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,588,442.0
214,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,589,443.0
215,non_placement,low_wage,Wage offered too low,Wage offered too low,590,
216,non_placement,further_study,Pursuing further education,Pursuing further education,592,
217,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,595,447.0
218,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,596,
219,non_placement,further_study,Pursuing further education,Pursuing further education,598,
220,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,599,
221,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,600,
222,non_placement,further_study,Pursuing further education,Pursuing further education,601,
223,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,603,
224,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,605,
225,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,606,
226,non_placement,further_study,Pursuing further education,Pursuing further education,607,
227,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,609,
228,non_placement,low_wage,Wage offered too low,Wage offered too low,611,
229,non_placement,further_study,Pursuing further education,Pursuing further education,614,
230,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,616,
231,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,618,
232,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,619,
233,non_placement,further_study,Pursuing further education,Pursuing further education,620,
234,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,625,
235,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,627,462.0
236,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,628,463.0
237,non_placement,low_wage,Wage offered too low,Wage offered too low,629,
238,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,633,467.0
239,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,634,
240,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,637,470.0
241,non_placement,low_wage,Wage offered too low,Wage offered too low,638,
242,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,639,471.0
243,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,640,
244,non_placement,low_wage,Wage offered too low,Wage offered too low,643,
245,non_placement,low_wage,Wage offered too low,Wage offered too low,644,
246,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,649,
247,non_placement,low_wage,Wage offered too low,Wage offered too low,650,
248,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,652,
249,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,654,
250,non_placement,low_wage,Wage offered too low,Wage offered too low,656,
251,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,657,
252,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,662,
253,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,663,
254,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,664,
255,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,665,
256,non_placement,further_study,Pursuing further education,Pursuing further education,667,
257,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,668,
258,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,669,486.0
259,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,674,
260,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,675,
261,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,679,
262,non_placement,low_wage,Wage offered too low,Wage offered too low,680,
263,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,685,498.0
264,attrition,family_reasons,Family circumstances changed,Family circumstances changed,691,504.0
265,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,692,
266,non_placement,low_wage,Wage offered too low,Wage offered too low,693,
267,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,696,
268,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,699,
269,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,701,510.0
270,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,702,
271,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,704,
272,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,706,
273,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,707,
274,attrition,workplace_issues,Workplace conditions / employer issues,Workplace conditions / employer issues,709,514.0
275,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,710,
276,non_placement,low_wage,Wage offered too low,Wage offered too low,712,
277,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,715,
278,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,718,
279,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,719,
280,attrition,family_reasons,Family circumstances changed,Family circumstances changed,721,521.0
281,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,722,
282,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,725,
283,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,726,
284,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,727,
285,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,729,525.0
286,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,730,
287,non_placement,low_wage,Wage offered too low,Wage offered too low,736,
288,non_placement,further_study,Pursuing further education,Pursuing further education,737,
289,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,739,
290,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,741,
291,non_placement,health,Health-related reasons,Health-related reasons,742,
292,non_placement,low_wage,Wage offered too low,Wage offered too low,743,
293,non_placement,low_wage,Wage offered too low,Wage offered too low,746,
294,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,748,
295,attrition,family_reasons,Family circumstances changed,Family circumstances changed,749,536.0
296,non_placement,low_wage,Wage offered too low,Wage offered too low,750,
297,non_placement,further_study,Pursuing further education,Pursuing further education,751,
298,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,755,
299,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,758,
300,non_placement,health,Health-related reasons,Health-related reasons,761,
301,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,762,
302,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,763,544.0
303,non_placement,further_study,Pursuing further education,Pursuing further education,764,
304,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,765,
305,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,768,547.0
306,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,771,
307,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,774,552.0
308,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,775,
309,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,776,
310,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,777,553.0
311,attrition,family_reasons,Family circumstances changed,Family circumstances changed,780,556.0
312,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,781,
313,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,782,557.0
314,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,784,
315,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,789,
316,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,790,563.0
317,non_placement,low_wage,Wage offered too low,Wage offered too low,794,
318,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,796,
319,non_placement,low_wage,Wage offered too low,Wage offered too low,799,
320,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,801,
321,non_placement,low_wage,Wage offered too low,Wage offered too low,802,
322,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,804,
323,non_placement,low_wage,Wage offered too low,Wage offered too low,805,
324,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,807,
325,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,809,574.0
326,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,814,
327,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,815,
328,non_placement,further_study,Pursuing further education,Pursuing further education,816,
329,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,818,
330,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,819,
331,non_placement,low_wage,Wage offered too low,Wage offered too low,821,
332,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,822,
333,non_placement,low_wage,Wage offered too low,Wage offered too low,824,
334,non_placement,low_wage,Wage offered too low,Wage offered too low,825,
335,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,827,583.0
336,non_placement,further_study,Pursuing further education,Pursuing further education,828,
337,non_placement,further_study,Pursuing further education,Pursuing further education,829,
338,non_placement,low_wage,Wage offered too low,Wage offered too low,830,
339,attrition,family_reasons,Family circumstances changed,Family circumstances changed,831,584.0
340,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,832,585.0
341,non_placement,low_wage,Wage offered too low,Wage offered too low,834,
342,non_placement,further_study,Pursuing further education,Pursuing further education,835,
343,non_placement,low_wage,Wage offered too low,Wage offered too low,837,
344,non_placement,further_study,Pursuing further education,Pursuing further education,838,
345,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,842,591.0
346,non_placement,low_wage,Wage offered too low,Wage offered too low,844,
347,non_placement,low_wage,Wage offered too low,Wage offered too low,846,
348,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,848,595.0
349,attrition,family_reasons,Family circumstances changed,Family circumstances changed,851,598.0
350,non_placement,health,Health-related reasons,Health-related reasons,858,
351,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,859,605.0
352,non_placement,low_wage,Wage offered too low,Wage offered too low,864,
353,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,866,611.0
354,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,869,614.0
355,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,870,
356,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,874,
357,attrition,family_reasons,Family circumstances changed,Family circumstances changed,878,621.0
