training_id,trainee_id,course_id,provider_id,cohort_id,start_date,end_date,completion_status,assessment_score,certification_id
73,73,1,2,2,2024-10-27,2025-01-19,completed,81.0,CERT-73
74,74,1,2,2,2024-10-27,2025-01-19,completed,74.9,CERT-74
75,75,1,2,2,2024-10-27,2025-01-19,completed,67.1,CERT-75
76,76,1,2,2,2024-10-27,2025-01-19,completed,69.7,CERT-76
77,77,1,2,2,2024-10-27,2025-01-19,completed,67.8,CERT-77
78,78,1,2,2,2024-10-27,2025-01-19,dropped_out,74.8,
79,79,1,2,2,2024-10-27,2025-01-19,completed,68.9,CERT-79
80,80,1,2,2,2024-10-27,2025-01-19,completed,72.0,CERT-80
81,81,1,2,2,2024-10-27,2025-01-19,completed,53.0,CERT-81
82,82,1,2,2,2024-10-27,2025-01-19,completed,96.6,CERT-82
83,83,1,2,2,2024-10-27,2025-01-19,completed,77.6,CERT-83
84,84,1,2,2,2024-10-27,2025-01-19,completed,49.7,CERT-84
85,85,1,2,2,2024-10-27,2025-01-19,completed,62.5,CERT-85
86,86,1,2,2,2024-10-27,2025-01-19,completed,53.5,CERT-86
87,87,1,2,2,2024-10-27,2025-01-19,dropped_out,74.9,
88,88,1,2,2,2024-10-27,2025-01-19,completed,52.9,CERT-88
89,89,1,2,2,2024-10-27,2025-01-19,completed,48.7,CERT-89
90,90,1,2,2,2024-10-27,2025-01-19,completed,92.2,CERT-90
91,91,1,2,2,2024-10-27,2025-01-19,completed,88.6,CERT-91
92,92,1,2,2,2024-10-27,2025-01-19,completed,86.1,CERT-92
93,93,1,2,2,2024-10-27,2025-01-19,completed,66.6,CERT-93
94,94,1,2,2,2024-10-27,2025-01-19,completed,77.0,CERT-94
95,95,1,2,2,2024-10-27,2025-01-19,completed,93.1,CERT-95
96,96,1,2,2,2024-10-27,2025-01-19,completed,74.8,CERT-96
97,97,1,2,2,2024-10-27,2025-01-19,completed,89.5,CERT-97
98,98,1,2,2,2024-10-27,2025-01-19,completed,82.0,CERT-98
99,99,1,2,2,2024-10-27,2025-01-19,dropped_out,45.5,
100,100,1,2,2,2024-10-27,2025-01-19,completed,62.6,CERT-100
101,101,1,2,2,2024-10-27,2025-01-19,completed,81.7,CERT-101
102,102,1,2,2,2024-10-27,2025-01-19,dropped_out,68.2,
103,103,1,2,2,2024-10-27,2025-01-19,completed,62.3,CERT-103
104,104,1,2,2,2024-10-27,2025-01-19,completed,54.9,CERT-104
105,105,1,2,2,2024-10-27,2025-01-19,completed,58.1,CERT-105
106,106,1,2,2,2024-10-27,2025-01-19,completed,86.7,CERT-106
107,107,1,2,2,2024-10-27,2025-01-19,completed,70.4,CERT-107
108,108,1,2,2,2024-10-27,2025-01-19,dropped_out,58.7,
109,109,1,2,2,2024-10-27,2025-01-19,completed,65.7,CERT-109
110,110,1,2,2,2024-10-27,2025-01-19,completed,84.2,CERT-110
111,111,1,2,2,2024-10-27,2025-01-19,completed,78.9,CERT-111
112,112,1,2,2,2024-10-27,2025-01-19,completed,54.9,CERT-112
113,113,1,2,2,2024-10-27,2025-01-19,completed,65.3,CERT-113
114,114,1,2,2,2024-10-27,2025-01-19,completed,97.5,CERT-114
115,115,1,2,2,2024-10-27,2025-01-19,completed,60.5,CERT-115
116,116,1,2,2,2024-10-27,2025-01-19,dropped_out,87.1,
117,117,1,2,2,2024-10-27,2025-01-19,completed,91.5,CERT-117
118,118,1,2,2,2024-10-27,2025-01-19,completed,45.0,CERT-118
119,119,1,2,2,2024-10-27,2025-01-19,completed,64.1,CERT-119
120,120,1,2,2,2024-10-27,2025-01-19,completed,50.4,CERT-120
121,121,1,2,2,2024-10-27,2025-01-19,completed,49.5,CERT-121
122,122,1,2,2,2024-10-27,2025-01-19,completed,75.1,CERT-122
123,123,1,2,2,2024-10-27,2025-01-19,completed,65.7,CERT-123
124,124,1,2,2,2024-10-27,2025-01-19,completed,53.7,CERT-124
125,125,1,2,2,2024-10-27,2025-01-19,completed,91.3,CERT-125
126,126,1,2,2,2024-10-27,2025-01-19,completed,93.8,CERT-126
127,127,1,2,2,2024-10-27,2025-01-19,dropped_out,55.6,
128,128,1,2,2,2024-10-27,2025-01-19,completed,76.4,CERT-128
129,129,1,2,2,2024-10-27,2025-01-19,completed,92.6,CERT-129
130,130,1,2,2,2024-10-27,2025-01-19,completed,69.7,CERT-130
131,131,1,2,2,2024-10-27,2025-01-19,completed,87.6,CERT-131
132,132,1,2,2,2024-10-27,2025-01-19,completed,91.8,CERT-132
133,133,1,2,2,2024-10-27,2025-01-19,completed,54.5,CERT-133
134,134,1,2,2,2024-10-27,2025-01-19,completed,46.5,CERT-134
135,135,1,2,2,2024-10-27,2025-01-19,completed,93.6,CERT-135
136,136,1,2,2,2024-10-27,2025-01-19,completed,95.3,CERT-136
137,137,2,10,3,2025-01-05,2025-03-30,completed,47.6,CERT-137
138,138,2,10,3,2025-01-05,2025-03-30,completed,64.9,CERT-138
139,139,2,10,3,2025-01-05,2025-03-30,completed,64.1,CERT-139
140,140,2,10,3,2025-01-05,2025-03-30,completed,63.2,CERT-140
141,141,2,10,3,2025-01-05,2025-03-30,completed,51.7,CERT-141
142,142,2,10,3,2025-01-05,2025-03-30,completed,78.0,CERT-142
143,143,2,10,3,2025-01-05,2025-03-30,dropped_out,88.3,
144,144,2,10,3,2025-01-05,2025-03-30,completed,81.3,CERT-144
145,145,2,10,3,2025-01-05,2025-03-30,completed,77.1,CERT-145
146,146,2,10,3,2025-01-05,2025-03-30,completed,57.8,CERT-146
147,147,2,10,3,2025-01-05,2025-03-30,completed,45.4,CERT-147
148,148,2,10,3,2025-01-05,2025-03-30,completed,62.8,CERT-148
149,149,2,10,3,2025-01-05,2025-03-30,completed,84.0,CERT-149
150,150,2,10,3,2025-01-05,2025-03-30,completed,76.0,CERT-150
151,151,2,10,3,2025-01-05,2025-03-30,completed,85.3,CERT-151
152,152,2,10,3,2025-01-05,2025-03-30,completed,78.2,CERT-152
153,153,2,10,3,2025-01-05,2025-03-30,completed,46.2,CERT-153
154,154,2,10,3,2025-01-05,2025-03-30,completed,59.3,CERT-154
155,155,2,10,3,2025-01-05,2025-03-30,completed,49.0,CERT-155
156,156,2,10,3,2025-01-05,2025-03-30,completed,59.2,CERT-156
157,157,2,10,3,2025-01-05,2025-03-30,completed,70.9,CERT-157
158,158,2,10,3,2025-01-05,2025-03-30,dropped_out,91.0,
159,159,2,10,3,2025-01-05,2025-03-30,completed,81.5,CERT-159
160,160,2,10,3,2025-01-05,2025-03-30,completed,62.5,CERT-160
161,161,2,10,3,2025-01-05,2025-03-30,completed,69.2,CERT-161
162,162,2,10,3,2025-01-05,2025-03-30,completed,84.4,CERT-162
163,163,2,10,3,2025-01-05,2025-03-30,completed,54.2,CERT-163
164,164,2,10,3,2025-01-05,2025-03-30,completed,77.3,CERT-164
165,165,2,10,3,2025-01-05,2025-03-30,completed,85.3,CERT-165
166,166,2,10,3,2025-01-05,2025-03-30,completed,74.7,CERT-166
167,167,2,10,3,2025-01-05,2025-03-30,completed,48.9,CERT-167
168,168,2,10,3,2025-01-05,2025-03-30,completed,59.0,CERT-168
169,169,2,10,3,2025-01-05,2025-03-30,completed,73.5,CERT-169
170,170,2,10,3,2025-01-05,2025-03-30,dropped_out,72.4,
171,171,2,10,3,2025-01-05,2025-03-30,completed,60.7,CERT-171
172,172,2,10,3,2025-01-05,2025-03-30,dropped_out,54.4,
173,173,2,10,3,2025-01-05,2025-03-30,completed,66.6,CERT-173
174,174,2,10,3,2025-01-05,2025-03-30,completed,88.6,CERT-174
175,175,2,10,3,2025-01-05,2025-03-30,completed,92.9,CERT-175
176,176,2,10,3,2025-01-05,2025-03-30,completed,55.5,CERT-176
177,177,2,10,3,2025-01-05,2025-03-30,completed,69.5,CERT-177
178,178,2,10,3,2025-01-05,2025-03-30,completed,52.9,CERT-178
179,179,2,10,3,2025-01-05,2025-03-30,completed,70.8,CERT-179
180,180,2,10,3,2025-01-05,2025-03-30,completed,63.7,CERT-180
181,181,2,10,3,2025-01-05,2025-03-30,completed,57.2,CERT-181
182,182,2,10,3,2025-01-05,2025-03-30,completed,52.8,CERT-182
183,183,2,10,3,2025-01-05,2025-03-30,completed,50.8,CERT-183
184,184,2,10,3,2025-01-05,2025-03-30,completed,65.2,CERT-184
185,185,2,10,3,2025-01-05,2025-03-30,completed,67.6,CERT-185
186,186,2,10,3,2025-01-05,2025-03-30,completed,87.4,CERT-186
187,187,2,10,3,2025-01-05,2025-03-30,completed,55.7,CERT-187
188,188,2,10,3,2025-01-05,2025-03-30,completed,88.2,CERT-188
189,189,2,10,3,2025-01-05,2025-03-30,completed,65.3,CERT-189
190,190,2,10,3,2025-01-05,2025-03-30,completed,45.5,CERT-190
191,191,2,10,3,2025-01-05,2025-03-30,dropped_out,94.4,
192,192,2,10,3,2025-01-05,2025-03-30,completed,59.3,CERT-192
193,193,2,10,3,2025-01-05,2025-03-30,completed,57.8,CERT-193
194,194,2,10,3,2025-01-05,2025-03-30,completed,73.7,CERT-194
195,195,2,10,3,2025-01-05,2025-03-30,completed,66.2,CERT-195
196,196,2,10,3,2025-01-05,2025-03-30,completed,70.3,CERT-196
197,197,2,10,3,2025-01-05,2025-03-30,completed,77.5,CERT-197
198,198,2,10,3,2025-01-05,2025-03-30,dropped_out,91.6,
199,199,2,10,3,2025-01-05,2025-03-30,completed,97.8,CERT-199
200,200,2,10,3,2025-01-05,2025-03-30,completed,52.2,CERT-200
201,201,2,10,3,2025-01-05,2025-03-30,completed,78.9,CERT-201
202,202,2,10,3,2025-01-05,2025-03-30,completed,91.8,CERT-202
203,203,2,10,3,2025-01-05,2025-03-30,completed,78.0,CERT-203
204,204,2,10,3,2025-01-05,2025-03-30,completed,92.5,CERT-204
205,205,2,10,4,2024-07-15,2024-10-07,completed,55.5,CERT-205
206,206,2,10,4,2024-07-15,2024-10-07,completed,53.9,CERT-206
207,207,2,10,4,2024-07-15,2024-10-07,completed,68.3,CERT-207
208,208,2,10,4,2024-07-15,2024-10-07,completed,71.8,CERT-208
209,209,2,10,4,2024-07-15,2024-10-07,completed,46.7,CERT-209
210,210,2,10,4,2024-07-15,2024-10-07,completed,59.1,CERT-210
211,211,2,10,4,2024-07-15,2024-10-07,completed,73.3,CERT-211
212,212,2,10,4,2024-07-15,2024-10-07,completed,56.8,CERT-212
213,213,2,10,4,2024-07-15,2024-10-07,completed,69.4,CERT-213
214,214,2,10,4,2024-07-15,2024-10-07,completed,68.0,CERT-214
215,215,2,10,4,2024-07-15,2024-10-07,dropped_out,72.8,
216,216,2,10,4,2024-07-15,2024-10-07,completed,82.0,CERT-216
217,217,2,10,4,2024-07-15,2024-10-07,completed,79.6,CERT-217
218,218,2,10,4,2024-07-15,2024-10-07,completed,57.4,CERT-218
219,219,2,10,4,2024-07-15,2024-10-07,completed,60.1,CERT-219
220,220,2,10,4,2024-07-15,2024-10-07,dropped_out,80.0,
221,221,2,10,4,2024-07-15,2024-10-07,completed,79.4,CERT-221
222,222,2,10,4,2024-07-15,2024-10-07,completed,92.2,CERT-222
223,223,2,10,4,2024-07-15,2024-10-07,completed,65.8,CERT-223
224,224,2,10,4,2024-07-15,2024-10-07,completed,95.3,CERT-224
225,225,2,10,4,2024-07-15,2024-10-07,completed,53.7,CERT-225
226,226,2,10,4,2024-07-15,2024-10-07,completed,68.9,CERT-226
227,227,2,10,4,2024-07-15,2024-10-07,completed,47.1,CERT-227
228,228,2,10,4,2024-07-15,2024-10-07,completed,68.9,CERT-228
229,229,2,10,4,2024-07-15,2024-10-07,completed,80.0,CERT-229
230,230,2,10,4,2024-07-15,2024-10-07,completed,70.2,CERT-230
231,231,2,10,4,2024-07-15,2024-10-07,completed,97.7,CERT-231
232,232,2,10,4,2024-07-15,2024-10-07,completed,81.5,CERT-232
233,233,2,10,4,2024-07-15,2024-10-07,completed,75.5,CERT-233
234,234,2,10,4,2024-07-15,2024-10-07,dropped_out,55.7,
235,235,2,10,4,2024-07-15,2024-10-07,completed,74.1,CERT-235
236,236,2,10,4,2024-07-15,2024-10-07,completed,80.9,CERT-236
237,237,2,10,4,2024-07-15,2024-10-07,completed,91.5,CERT-237
238,238,2,10,4,2024-07-15,2024-10-07,completed,82.8,CERT-238
239,239,2,10,4,2024-07-15,2024-10-07,completed,54.1,CERT-239
240,240,2,10,4,2024-07-15,2024-10-07,completed,61.5,CERT-240
241,241,2,10,4,2024-07-15,2024-10-07,completed,66.5,CERT-241
242,242,2,10,4,2024-07-15,2024-10-07,completed,50.2,CERT-242
243,243,2,10,4,2024-07-15,2024-10-07,completed,87.1,CERT-243
244,244,2,10,4,2024-07-15,2024-10-07,completed,66.5,CERT-244
245,245,2,10,4,2024-07-15,2024-10-07,completed,67.5,CERT-245
246,246,2,10,4,2024-07-15,2024-10-07,completed,89.9,CERT-246
247,247,2,10,4,2024-07-15,2024-10-07,completed,80.2,CERT-247
248,248,2,10,4,2024-07-15,2024-10-07,completed,60.5,CERT-248
249,249,2,10,4,2024-07-15,2024-10-07,completed,76.6,CERT-249
250,250,2,10,4,2024-07-15,2024-10-07,completed,53.9,CERT-250
251,251,2,10,4,2024-07-15,2024-10-07,completed,67.9,CERT-251
252,252,2,10,4,2024-07-15,2024-10-07,completed,76.0,CERT-252
253,253,2,10,4,2024-07-15,2024-10-07,dropped_out,76.5,
254,254,2,10,4,2024-07-15,2024-10-07,completed,77.0,CERT-254
255,255,2,10,4,2024-07-15,2024-10-07,completed,73.7,CERT-255
256,256,2,10,4,2024-07-15,2024-10-07,completed,81.5,CERT-256
257,257,2,10,4,2024-07-15,2024-10-07,completed,52.4,CERT-257
258,258,2,10,4,2024-07-15,2024-10-07,completed,70.9,CERT-258
259,259,2,10,4,2024-07-15,2024-10-07,completed,75.5,CERT-259
260,260,2,10,4,2024-07-15,2024-10-07,completed,76.5,CERT-260
261,261,2,10,4,2024-07-15,2024-10-07,completed,79.9,CERT-261
262,262,2,10,4,2024-07-15,2024-10-07,completed,76.4,CERT-262
263,263,2,10,4,2024-07-15,2024-10-07,completed,55.3,CERT-263
264,264,2,10,4,2024-07-15,2024-10-07,dropped_out,67.7,
265,265,2,10,4,2024-07-15,2024-10-07,completed,92.3,CERT-265
266,266,2,10,4,2024-07-15,2024-10-07,completed,91.3,CERT-266
267,267,2,10,4,2024-07-15,2024-10-07,completed,50.9,CERT-267
268,268,2,10,4,2024-07-15,2024-10-07,completed,89.0,CERT-268
269,269,2,10,4,2024-07-15,2024-10-07,completed,84.1,CERT-269
270,270,2,10,4,2024-07-15,2024-10-07,completed,53.8,CERT-270
271,271,2,10,4,2024-07-15,2024-10-07,completed,51.2,CERT-271
272,272,2,10,4,2024-07-15,2024-10-07,completed,82.5,CERT-272
273,273,3,2,5,2024-02-16,2024-05-10,completed,51.0,CERT-273
274,274,3,2,5,2024-02-16,2024-05-10,completed,77.0,CERT-274
275,275,3,2,5,2024-02-16,2024-05-10,completed,61.1,CERT-275
276,276,3,2,5,2024-02-16,2024-05-10,completed,66.7,CERT-276
277,277,3,2,5,2024-02-16,2024-05-10,completed,89.1,CERT-277
278,278,3,2,5,2024-02-16,2024-05-10,completed,75.0,CERT-278
279,279,3,2,5,2024-02-16,2024-05-10,completed,53.6,CERT-279
280,280,3,2,5,2024-02-16,2024-05-10,completed,45.7,CERT-280
281,281,3,2,5,2024-02-16,2024-05-10,completed,70.4,CERT-281
282,282,3,2,5,2024-02-16,2024-05-10,completed,72.2,CERT-282
283,283,3,2,5,2024-02-16,2024-05-10,completed,86.4,CERT-283
284,284,3,2,5,2024-02-16,2024-05-10,completed,50.8,CERT-284
285,285,3,2,5,2024-02-16,2024-05-10,completed,80.9,CERT-285
286,286,3,2,5,2024-02-16,2024-05-10,completed,69.1,CERT-286
287,287,3,2,5,2024-02-16,2024-05-10,completed,58.9,CERT-287
288,288,3,2,5,2024-02-16,2024-05-10,completed,65.7,CERT-288
289,289,3,2,5,2024-02-16,2024-05-10,completed,73.5,CERT-289
290,290,3,2,5,2024-02-16,2024-05-10,completed,73.4,CERT-290
291,291,3,2,5,2024-02-16,2024-05-10,completed,72.4,CERT-291
292,292,3,2,5,2024-02-16,2024-05-10,completed,51.0,CERT-292
293,293,3,2,5,2024-02-16,2024-05-10,completed,89.5,CERT-293
294,294,3,2,5,2024-02-16,2024-05-10,completed,49.8,CERT-294
295,295,3,2,5,2024-02-16,2024-05-10,completed,91.6,CERT-295
296,296,3,2,5,2024-02-16,2024-05-10,completed,80.1,CERT-296
297,297,3,2,5,2024-02-16,2024-05-10,completed,95.8,CERT-297
298,298,3,2,5,2024-02-16,2024-05-10,completed,62.6,CERT-298
299,299,3,2,5,2024-02-16,2024-05-10,completed,61.9,CERT-299
300,300,3,2,5,2024-02-16,2024-05-10,completed,95.8,CERT-300
301,301,3,2,5,2024-02-16,2024-05-10,completed,64.6,CERT-301
302,302,3,2,5,2024-02-16,2024-05-10,completed,52.0,CERT-302
303,303,3,2,5,2024-02-16,2024-05-10,completed,91.5,CERT-303
304,304,3,2,5,2024-02-16,2024-05-10,dropped_out,52.9,
305,305,3,2,5,2024-02-16,2024-05-10,completed,82.4,CERT-305
306,306,3,2,5,2024-02-16,2024-05-10,completed,75.3,CERT-306
307,307,3,2,5,2024-02-16,2024-05-10,completed,47.6,CERT-307
308,308,3,2,5,2024-02-16,2024-05-10,completed,77.0,CERT-308
309,309,3,2,5,2024-02-16,2024-05-10,completed,68.2,CERT-309
310,310,3,2,5,2024-02-16,2024-05-10,completed,72.7,CERT-310
311,311,3,2,5,2024-02-16,2024-05-10,completed,60.8,CERT-311
312,312,3,2,5,2024-02-16,2024-05-10,completed,88.1,CERT-312
313,313,3,2,5,2024-02-16,2024-05-10,completed,70.0,CERT-313
314,314,3,2,5,2024-02-16,2024-05-10,dropped_out,45.4,
315,315,3,2,5,2024-02-16,2024-05-10,dropped_out,66.2,
316,316,3,2,5,2024-02-16,2024-05-10,completed,67.4,CERT-316
317,317,3,2,5,2024-02-16,2024-05-10,completed,84.7,CERT-317
318,318,3,2,5,2024-02-16,2024-05-10,completed,97.7,CERT-318
319,319,3,2,5,2024-02-16,2024-05-10,completed,94.1,CERT-319
320,320,3,2,5,2024-02-16,2024-05-10,completed,70.1,CERT-320
321,321,3,2,5,2024-02-16,2024-05-10,completed,65.8,CERT-321
322,322,3,2,5,2024-02-16,2024-05-10,dropped_out,62.7,
323,323,3,2,5,2024-02-16,2024-05-10,completed,72.1,CERT-323
324,324,3,2,5,2024-02-16,2024-05-10,completed,86.6,CERT-324
325,325,3,2,5,2024-02-16,2024-05-10,completed,81.5,CERT-325
326,326,3,2,5,2024-02-16,2024-05-10,completed,69.3,CERT-326
327,327,3,2,5,2024-02-16,2024-05-10,completed,46.7,CERT-327
328,328,3,2,5,2024-02-16,2024-05-10,completed,67.1,CERT-328
329,329,3,2,5,2024-02-16,2024-05-10,completed,49.5,CERT-329
330,330,3,2,5,2024-02-16,2024-05-10,completed,46.0,CERT-330
331,331,3,2,5,2024-02-16,2024-05-10,completed,49.8,CERT-331
332,332,3,2,5,2024-02-16,2024-05-10,completed,53.2,CERT-332
333,333,3,2,5,2024-02-16,2024-05-10,completed,60.8,CERT-333
334,334,3,2,5,2024-02-16,2024-05-10,completed,74.4,CERT-334
335,335,3,2,5,2024-02-16,2024-05-10,completed,52.5,CERT-335
336,336,3,2,5,2024-02-16,2024-05-10,completed,51.5,CERT-336
337,337,3,2,5,2024-02-16,2024-05-10,completed,79.4,CERT-337
338,338,3,2,5,2024-02-16,2024-05-10,completed,88.3,CERT-338
339,339,3,2,5,2024-02-16,2024-05-10,completed,83.6,CERT-339
340,340,3,2,5,2024-02-16,2024-05-10,completed,61.8,CERT-340
341,341,3,4,6,2024-10-23,2025-01-15,completed,95.8,CERT-341
342,342,3,4,6,2024-10-23,2025-01-15,completed,78.1,CERT-342
343,343,3,4,6,2024-10-23,2025-01-15,completed,67.7,CERT-343
344,344,3,4,6,2024-10-23,2025-01-15,completed,79.5,CERT-344
345,345,3,4,6,2024-10-23,2025-01-15,completed,67.2,CERT-345
346,346,3,4,6,2024-10-23,2025-01-15,completed,68.3,CERT-346
347,347,3,4,6,2024-10-23,2025-01-15,completed,48.5,CERT-347
348,348,3,4,6,2024-10-23,2025-01-15,completed,86.9,CERT-348
349,349,3,4,6,2024-10-23,2025-01-15,completed,65.0,CERT-349
350,350,3,4,6,2024-10-23,2025-01-15,completed,94.1,CERT-350
351,351,3,4,6,2024-10-23,2025-01-15,completed,57.1,CERT-351
352,352,3,4,6,2024-10-23,2025-01-15,completed,84.9,CERT-352
353,353,3,4,6,2024-10-23,2025-01-15,completed,74.3,CERT-353
354,354,3,4,6,2024-10-23,2025-01-15,completed,61.4,CERT-354
355,355,3,4,6,2024-10-23,2025-01-15,completed,81.3,CERT-355
356,356,3,4,6,2024-10-23,2025-01-15,completed,50.1,CERT-356
357,357,3,4,6,2024-10-23,2025-01-15,completed,66.0,CERT-357
358,358,3,4,6,2024-10-23,2025-01-15,completed,82.9,CERT-358
359,359,3,4,6,2024-10-23,2025-01-15,completed,61.3,CERT-359
360,360,3,4,6,2024-10-23,2025-01-15,completed,51.4,CERT-360
361,361,3,4,6,2024-10-23,2025-01-15,completed,96.5,CERT-361
362,362,3,4,6,2024-10-23,2025-01-15,completed,77.8,CERT-362
363,363,3,4,6,2024-10-23,2025-01-15,completed,80.2,CERT-363
364,364,3,4,6,2024-10-23,2025-01-15,completed,69.8,CERT-364
365,365,3,4,6,2024-10-23,2025-01-15,completed,53.1,CERT-365
366,366,3,4,6,2024-10-23,2025-01-15,completed,51.6,CERT-366
367,367,3,4,6,2024-10-23,2025-01-15,completed,70.9,CERT-367
368,368,3,4,6,2024-10-23,2025-01-15,completed,55.0,CERT-368
369,369,3,4,6,2024-10-23,2025-01-15,dropped_out,48.7,
370,370,3,4,6,2024-10-23,2025-01-15,completed,54.0,CERT-370
371,371,3,4,6,2024-10-23,2025-01-15,completed,80.7,CERT-371
372,372,3,4,6,2024-10-23,2025-01-15,completed,59.8,CERT-372
373,373,3,4,6,2024-10-23,2025-01-15,completed,60.6,CERT-373
374,374,3,4,6,2024-10-23,2025-01-15,completed,95.4,CERT-374
375,375,3,4,6,2024-10-23,2025-01-15,completed,94.7,CERT-375
376,376,3,4,6,2024-10-23,2025-01-15,completed,60.0,CERT-376
377,377,3,4,6,2024-10-23,2025-01-15,completed,74.0,CERT-377
