trainee_id,name_or_anon_id,dob_year,gender,category,district_id,consent_flag,consent_ts
64,TR-00064,2004,Other,General,4,1,2025-01-22
65,TR-00065,2003,Female,General,5,1,2025-01-22
66,TR-00066,2007,Female,ST,5,1,2025-01-22
67,TR-00067,1996,Female,SC,1,1,2025-01-22
68,TR-00068,1991,Other,OBC,3,1,2025-01-22
69,TR-00069,2004,Other,ST,3,1,2024-10-27
70,TR-00070,1994,Other,ST,5,1,2024-10-27
71,TR-00071,2004,Female,ST,1,1,2024-10-27
72,TR-00072,1992,Other,SC,3,1,2024-10-27
73,TR-00073,2000,Other,General,2,1,2024-10-27
74,TR-00074,1994,Female,SC,2,1,2024-10-27
75,TR-00075,1998,Other,OBC,1,1,2024-10-27
76,TR-00076,1994,Male,General,4,1,2024-10-27
77,TR-00077,2005,Male,General,5,1,2024-10-27
78,TR-00078,2001,Female,ST,4,1,2024-10-27
79,TR-00079,2007,Male,General,3,1,2024-10-27
80,TR-00080,1999,Other,SC,5,1,2024-10-27
81,TR-00081,1996,Female,ST,1,1,2024-10-27
82,TR-00082,1998,Other,SC,2,1,2024-10-27
83,TR-00083,1998,Other,SC,5,1,2024-10-27
84,TR-00084,1999,Other,General,3,1,2024-10-27
85,TR-00085,2004,Male,OBC,5,1,2024-10-27
86,TR-00086,1997,Female,General,3,1,2024-10-27
87,TR-00087,2006,Male,SC,1,1,2024-10-27
88,TR-00088,2007,Other,OBC,1,1,2024-10-27
89,TR-00089,1992,Other,General,3,1,2024-10-27
90,TR-00090,1995,Female,ST,4,1,2024-10-27
91,TR-00091,2004,Other,ST,3,1,2024-10-27
92,TR-00092,1997,Other,OBC,4,1,2024-10-27
93,TR-00093,2002,Other,SC,3,1,2024-10-27
94,TR-00094,1991,Male,ST,2,1,2024-10-27
95,TR-00095,2007,Female,ST,5,1,2024-10-27
96,TR-00096,1996,Male,SC,3,1,2024-10-27
97,TR-00097,2005,Female,General,5,1,2024-10-27
98,TR-00098,2007,Male,General,3,1,2024-10-27
99,TR-00099,2002,Male,ST,4,1,2024-10-27
100,TR-00100,1992,Male,ST,2,1,2024-10-27
101,TR-00101,1991,Female,OBC,5,1,2024-10-27
102,TR-00102,2006,Other,SC,1,1,2024-10-27
103,TR-00103,2000,Other,ST,1,1,2024-10-27
104,TR-00104,2001,Male,General,4,1,2024-10-27
105,TR-00105,2005,Female,SC,3,1,2024-10-27
106,TR-00106,1997,Male,ST,4,1,2024-10-27
107,TR-00107,2002,Female,ST,4,1,2024-10-27
108,TR-00108,2000,Male,General,4,1,2024-10-27
109,TR-00109,2006,Other,OBC,5,1,2024-10-27
110,TR-00110,1993,Other,OBC,3,1,2024-10-27
111,TR-00111,1998,Other,ST,1,1,2024-10-27
112,TR-00112,2007,Female,ST,2,1,2024-10-27
113,TR-00113,1990,Male,OBC,3,1,2024-10-27
114,TR-00114,2007,Female,ST,3,1,2024-10-27
115,TR-00115,2007,Female,SC,5,1,2024-10-27
116,TR-00116,2003,Male,ST,3,1,2024-10-27
117,TR-00117,2002,Other,SC,1,1,2024-10-27
118,TR-00118,1990,Female,OBC,4,1,2024-10-27
119,TR-00119,1999,Female,SC,2,1,2024-10-27
120,TR-00120,1997,Male,General,1,1,2024-10-27
121,TR-00121,2000,Female,OBC,4,1,2024-10-27
122,TR-00122,2000,Female,ST,3,1,2024-10-27
123,TR-00123,2006,Female,OBC,1,1,2024-10-27
124,TR-00124,1993,Female,OBC,2,1,2024-10-27
125,TR-00125,1995,Male,OBC,3,1,2024-10-27
126,TR-00126,1997,Female,ST,1,1,2024-10-27
127,TR-00127,2000,Female,ST,3,1,2024-10-27
128,TR-00128,1999,Other,OBC,5,1,2024-10-27
129,TR-00129,1998,Female,General,2,1,2024-10-27
130,TR-00130,1993,Female,General,2,1,2024-10-27
131,TR-00131,2007,Female,General,5,1,2024-10-27
132,TR-00132,1996,Female,SC,3,1,2024-10-27
133,TR-00133,2001,Other,SC,4,1,2024-10-27
134,TR-00134,2000,Other,SC,5,1,2024-10-27
135,TR-00135,1991,Female,OBC,3,1,2024-10-27
136,TR-00136,1994,Female,General,3,1,2024-10-27
137,TR-00137,2001,Male,General,1,1,2025-01-05
138,TR-00138,1993,Female,SC,3,1,2025-01-05
139,TR-00139,1991,Male,ST,1,1,2025-01-05
140,TR-00140,1991,Female,General,5,1,2025-01-05
141,TR-00141,1995,Female,OBC,4,1,2025-01-05
142,TR-00142,2006,Male,General,3,1,2025-01-05
143,TR-00143,2005,Male,SC,1,1,2025-01-05
144,TR-00144,1999,Male,ST,3,1,2025-01-05
145,TR-00145,2004,Male,SC,3,1,2025-01-05
146,TR-00146,2006,Male,General,4,1,2025-01-05
147,TR-00147,1994,Other,OBC,4,1,2025-01-05
148,TR-00148,1999,Other,General,3,1,2025-01-05
149,TR-00149,1999,Male,ST,4,1,2025-01-05
150,TR-00150,1999,Male,SC,2,1,2025-01-05
151,TR-00151,1991,Female,ST,3,1,2025-01-05
152,TR-00152,2006,Female,General,3,1,2025-01-05
153,TR-00153,1997,Female,OBC,1,1,2025-01-05
154,TR-00154,2003,Other,General,3,1,2025-01-05
155,TR-00155,2005,Female,General,5,1,2025-01-05
156,TR-00156,2000,Male,ST,2,1,2025-01-05
157,TR-00157,1990,Other,OBC,3,1,2025-01-05
158,TR-00158,1998,Other,SC,1,1,2025-01-05
159,TR-00159,1997,Other,SC,5,1,2025-01-05
160,TR-00160,1995,Female,ST,4,1,2025-01-05
161,TR-00161,1999,Other,OBC,5,1,2025-01-05
162,TR-00162,1995,Male,OBC,1,1,2025-01-05
163,TR-00163,2005,Other,OBC,4,1,2025-01-05
164,TR-00164,2000,Other,ST,5,1,2025-01-05
165,TR-00165,2006,Other,SC,2,1,2025-01-05
166,TR-00166,1993,Other,OBC,4,1,2025-01-05
167,TR-00167,1999,Male,OBC,2,1,2025-01-05
168,TR-00168,2002,Female,ST,1,1,2025-01-05
169,TR-00169,2006,Female,OBC,2,1,2025-01-05
170,TR-00170,2002,Male,SC,1,1,2025-01-05
171,TR-00171,2006,Other,ST,3,1,2025-01-05
172,TR-00172,2000,Female,General,4,1,2025-01-05
173,TR-00173,2007,Female,OBC,3,1,2025-01-05
174,TR-00174,1992,Male,ST,3,1,2025-01-05
175,TR-00175,1992,Male,OBC,5,1,2025-01-05
176,TR-00176,1992,Male,General,5,1,2025-01-05
177,TR-00177,1994,Other,SC,3,1,2025-01-05
178,TR-00178,2007,Other,ST,3,1,2025-01-05
179,TR-00179,2005,Male,General,2,1,2025-01-05
180,TR-00180,1998,Male,OBC,5,1,2025-01-05
181,TR-00181,1990,Other,OBC,4,1,2025-01-05
182,TR-00182,1995,Female,General,5,1,2025-01-05
183,TR-00183,1992,Female,ST,4,1,2025-01-05
184,TR-00184,2003,Female,ST,5,1,2025-01-05
185,TR-00185,2000,Male,SC,2,1,2025-01-05
186,TR-00186,1996,Other,ST,1,1,2025-01-05
187,TR-00187,1991,Female,ST,5,1,2025-01-05
188,TR-00188,2007,Male,SC,1,1,2025-01-05
189,TR-00189,1990,Male,General,4,1,2025-01-05
190,TR-00190,2000,Male,SC,2,1,2025-01-05
191,TR-00191,2002,Other,SC,1,1,2025-01-05
192,TR-00192,2000,Male,OBC,4,1,2025-01-05
193,TR-00193,2005,Other,OBC,2,1,2025-01-05
194,TR-00194,1991,Other,ST,2,1,2025-01-05
195,TR-00195,1996,Male,SC,4,1,2025-01-05
196,TR-00196,1995,Female,OBC,1,1,2025-01-05
197,TR-00197,1995,Other,SC,2,1,2025-01-05
198,TR-00198,2002,Female,General,2,1,2025-01-05
199,TR-00199,1991,Female,ST,5,1,2025-01-05
200,TR-00200,2004,Other,SC,4,1,2025-01-05
201,TR-00201,2004,Other,ST,5,1,2025-01-05
202,TR-00202,1997,Female,SC,5,1,2025-01-05
203,TR-00203,2004,Other,ST,1,1,2025-01-05
204,TR-00204,2002,Female,ST,3,1,2025-01-05
205,TR-00205,1993,Male,ST,5,1,2024-07-15
206,TR-00206,1993,Female,ST,2,1,2024-07-15
207,TR-00207,2000,Other,SC,2,1,2024-07-15
208,TR-00208,2001,Male,General,5,1,2024-07-15
209,TR-00209,1996,Female,ST,1,1,2024-07-15
210,TR-00210,2001,Other,General,4,1,2024-07-15
211,TR-00211,2007,Male,SC,2,1,2024-07-15
212,TR-00212,1994,Male,General,5,1,2024-07-15
213,TR-00213,2007,Other,OBC,3,1,2024-07-15
214,TR-00214,1991,Male,SC,1,1,2024-07-15
215,TR-00215,1990,Other,ST,2,1,2024-07-15
216,TR-00216,2007,Other,OBC,3,1,2024-07-15
217,TR-00217,1994,Male,OBC,2,1,2024-07-15
218,TR-00218,1994,Male,General,4,1,2024-07-15
219,TR-00219,2006,Female,SC,4,1,2024-07-15
220,TR-00220,2004,Other,General,1,1,2024-07-15
221,TR-00221,1993,Female,SC,3,1,2024-07-15
222,TR-00222,1991,Other,SC,3,1,2024-07-15
223,TR-00223,1998,Female,OBC,5,1,2024-07-15
224,TR-00224,1995,Male,General,2,1,2024-07-15
225,TR-00225,1995,Male,ST,3,1,2024-07-15
226,TR-00226,2006,Other,General,5,1,2024-07-15
227,TR-00227,2006,Other,ST,2,1,2024-07-15
228,TR-00228,2007,Female,ST,5,1,2024-07-15
229,TR-00229,1991,Female,SC,4,1,2024-07-15
230,TR-00230,2005,Female,OBC,1,1,2024-07-15
231,TR-00231,2000,Female,General,3,1,2024-07-15
232,TR-00232,1993,Other,General,1,1,2024-07-15
233,TR-00233,2003,Other,SC,3,1,2024-07-15
234,TR-00234,2007,Other,OBC,3,1,2024-07-15
235,TR-00235,1998,Female,SC,3,1,2024-07-15
236,TR-00236,1991,Other,SC,4,1,2024-07-15
237,TR-00237,1991,Male,ST,3,1,2024-07-15
238,TR-00238,1994,Female,General,5,1,2024-07-15
239,TR-00239,1994,Other,SC,3,1,2024-07-15
240,TR-00240,1994,Female,ST,4,1,2024-07-15
241,TR-00241,1999,Male,OBC,2,1,2024-07-15
242,TR-00242,2005,Female,ST,1,1,2024-07-15
243,TR-00243,1996,Other,SC,2,1,2024-07-15
244,TR-00244,2002,Other,SC,5,1,2024-07-15
245,TR-00245,2003,Other,OBC,5,1,2024-07-15
246,TR-00246,1995,Male,General,2,1,2024-07-15
247,TR-00247,1992,Female,ST,5,1,2024-07-15
248,TR-00248,1995,Other,General,4,1,2024-07-15
249,TR-00249,1991,Male,General,5,1,2024-07-15
250,TR-00250,2002,Female,ST,4,1,2024-07-15
251,TR-00251,1993,Other,SC,1,1,2024-07-15
252,TR-00252,1998,Male,General,3,1,2024-07-15
253,TR-00253,1991,Female,General,2,1,2024-07-15
254,TR-00254,1993,Other,General,2,1,2024-07-15
255,TR-00255,2002,Female,ST,2,1,2024-07-15
256,TR-00256,2007,Female,General,1,1,2024-07-15
257,TR-00257,2005,Female,ST,3,1,2024-07-15
258,TR-00258,1997,Female,General,5,1,2024-07-15
259,TR-00259,2002,Male,General,3,1,2024-07-15
260,TR-00260,1990,Female,General,1,1,2024-07-15
261,TR-00261,2006,Female,ST,5,1,2024-07-15
262,TR-00262,1993,Female,OBC,5,1,2024-07-15
263,TR-00263,2002,Male,OBC,2,1,2024-07-15
264,TR-00264,2005,Male,SC,2,1,2024-07-15
265,TR-00265,1997,Male,ST,2,1,2024-07-15
266,TR-00266,1990,Male,ST,4,1,2024-07-15
267,TR-00267,2006,Other,SC,1,1,2024-07-15
268,TR-00268,2001,Male,ST,3,1,2024-07-15
269,TR-00269,1994,Male,SC,5,1,2024-07-15
270,TR-00270,1994,Male,SC,1,1,2024-07-15
271,TR-00271,1995,Female,OBC,3,1,2024-07-15
272,TR-00272,1998,Male,OBC,4,1,2024-07-15
273,TR-00273,1994,Other,ST,3,1,2024-02-16
274,TR-00274,2006,Male,OBC,1,1,2024-02-16
275,TR-00275,1994,Other,General,4,1,2024-02-16
276,TR-00276,1992,Other,ST,3,1,2024-02-16
277,TR-00277,2004,Other,OBC,5,1,2024-02-16
278,TR-00278,2005,Female,SC,3,1,2024-02-16
279,TR-00279,1993,Male,General,4,1,2024-02-16
280,TR-00280,1993,Other,SC,3,1,2024-02-16
281,TR-00281,1992,Female,OBC,4,1,2024-02-16
282,TR-00282,1996,Female,General,1,1,2024-02-16
283,TR-00283,2001,Male,OBC,5,1,2024-02-16
284,TR-00284,2003,Female,SC,2,1,2024-02-16
285,TR-00285,1993,Male,ST,4,1,2024-02-16
286,TR-00286,2005,Other,SC,4,1,2024-02-16
287,TR-00287,1999,Other,ST,2,1,2024-02-16
288,TR-00288,2005,Male,OBC,5,1,2024-02-16
289,TR-00289,1999,Female,SC,1,1,2024-02-16
290,TR-00290,1996,Male,General,4,1,2024-02-16
291,TR-00291,2007,Female,General,4,1,2024-02-16
292,TR-00292,1998,Other,OBC,2,1,2024-02-16
293,TR-00293,2003,Male,General,1,1,2024-02-16
294,TR-00294,2006,Female,SC,5,1,2024-02-16
295,TR-00295,2003,Male,OBC,5,1,2024-02-16
296,TR-00296,1999,Female,General,3,1,2024-02-16
297,TR-00297,1998,Other,ST,2,1,2024-02-16
298,TR-00298,2005,Male,ST,1,1,2024-02-16
299,TR-00299,1994,Other,ST,5,1,2024-02-16
300,TR-00300,2003,Other,SC,4,1,2024-02-16
301,TR-00301,1997,Other,ST,3,1,2024-02-16
302,TR-00302,2002,Male,ST,5,1,2024-02-16
303,TR-00303,1998,Female,ST,2,1,2024-02-16
304,TR-00304,2007,Other,ST,2,1,2024-02-16
305,TR-00305,1995,Female,ST,2,1,2024-02-16
306,TR-00306,1996,Other,General,5,1,2024-02-16
307,TR-00307,2004,Male,OBC,1,1,2024-02-16
308,TR-00308,2003,Other,SC,4,1,2024-02-16
309,TR-00309,2006,Other,General,4,1,2024-02-16
310,TR-00310,1994,Other,SC,2,1,2024-02-16
311,TR-00311,1991,Female,ST,4,1,2024-02-16
312,TR-00312,2002,Other,ST,4,1,2024-02-16
313,TR-00313,1994,Other,ST,2,1,2024-02-16
314,TR-00314,1999,Other,ST,2,1,2024-02-16
315,TR-00315,2003,Male,SC,4,1,2024-02-16
316,TR-00316,2005,Female,General,5,1,2024-02-16
317,TR-00317,2005,Female,OBC,3,1,2024-02-16
318,TR-00318,1993,Other,OBC,2,1,2024-02-16
319,TR-00319,1998,Female,General,5,1,2024-02-16
320,TR-00320,2003,Female,OBC,4,1,2024-02-16
321,TR-00321,2000,Male,OBC,3,1,2024-02-16
322,TR-00322,1996,Male,General,4,1,2024-02-16
323,TR-00323,2006,Other,SC,2,1,2024-02-16
324,TR-00324,1997,Male,SC,5,1,2024-02-16
325,TR-00325,2005,Other,ST,3,1,2024-02-16
326,TR-00326,1995,Female,OBC,4,1,2024-02-16
327,TR-00327,1993,Other,OBC,5,1,2024-02-16
328,TR-00328,2007,Male,General,1,1,2024-02-16
329,TR-00329,1999,Other,General,1,1,2024-02-16
330,TR-00330,2006,Female,ST,1,1,2024-02-16
331,TR-00331,1990,Other,SC,4,1,2024-02-16
332,TR-00332,1994,Female,SC,3,1,2024-02-16
333,TR-00333,2000,Female,General,1,1,2024-02-16
334,TR-00334,1998,Other,General,1,1,2024-02-16
335,TR-00335,2004,Female,OBC,4,1,2024-02-16
336,TR-00336,1992,Male,General,5,1,2024-02-16
337,TR-00337,2005,Male,General,5,1,2024-02-16
338,TR-00338,1990,Male,SC,2,1,2024-02-16
339,TR-00339,1994,Male,OBC,1,1,2024-02-16
340,TR-00340,1991,Male,ST,2,1,2024-02-16
341,TR-00341,1998,Female,General,3,1,2024-10-23
342,TR-00342,1997,Female,ST,5,1,2024-10-23
343,TR-00343,1990,Male,ST,5,1,2024-10-23
344,TR-00344,1999,Other,ST,2,1,2024-10-23
345,TR-00345,2000,Other,SC,4,1,2024-10-23
346,TR-00346,1990,Other,General,3,1,2024-10-23
347,TR-00347,1995,Other,ST,3,1,2024-10-23
348,TR-00348,2005,Female,General,5,1,2024-10-23
349,TR-00349,2002,Female,SC,2,1,2024-10-23
350,TR-00350,2006,Other,General,5,1,2024-10-23
351,TR-00351,1990,Male,OBC,4,1,2024-10-23
352,TR-00352,2000,Female,ST,3,1,2024-10-23
353,TR-00353,1999,Female,OBC,4,1,2024-10-23
354,TR-00354,2002,Female,OBC,1,1,2024-10-23
355,TR-00355,1999,Other,OBC,2,1,2024-10-23
356,TR-00356,2002,Other,OBC,4,1,2024-10-23
357,TR-00357,2002,Male,ST,4,1,2024-10-23
358,TR-00358,1994,Male,SC,3,1,2024-10-23
359,TR-00359,1991,Other,General,4,1,2024-10-23
360,TR-00360,1996,Other,ST,2,1,2024-10-23
361,TR-00361,2000,Other,ST,1,1,2024-10-23
362,TR-00362,1999,Female,ST,1,1,2024-10-23
363,TR-00363,1996,Other,General,2,1,2024-10-23
364,TR-00364,1997,Other,General,2,1,2024-10-23
365,TR-00365,2003,Female,SC,4,1,2024-10-23
366,TR-00366,1992,Male,General,5,1,2024-10-23
367,TR-00367,1998,Other,SC,4,1,2024-10-23
368,TR-00368,2002,Other,General,4,1,2024-10-23
369,TR-00369,1990,Female,ST,3,1,2024-10-23
370,TR-00370,2006,Male,SC,4,1,2024-10-23
371,TR-00371,1990,Other,OBC,3,1,2024-10-23
372,TR-00372,1994,Female,General,4,1,2024-10-23
373,TR-00373,2003,Male,General,3,1,2024-10-23
374,TR-00374,1997,Other,SC,3,1,2024-10-23
375,TR-00375,1993,Female,SC,1,1,2024-10-23
376,TR-00376,1997,Male,ST,3,1,2024-10-23
377,TR-00377,2002,Male,OBC,4,1,2024-10-23
378,TR-00378,1999,Female,OBC,4,1,2024-10-23
379,TR-00379,1997,Female,General,4,1,2024-10-23
380,TR-00380,2005,Male,General,1,1,2024-10-23
381,TR-00381,1993,Female,OBC,2,1,2024-10-23
382,TR-00382,1993,Female,OBC,3,1,2024-10-23
383,TR-00383,2001,Other,OBC,5,1,2024-10-23
384,TR-00384,1996,Female,SC,5,1,2024-10-23
385,TR-00385,1998,Female,General,2,1,2024-10-23
386,TR-00386,2002,Male,OBC,5,1,2024-10-23
387,TR-00387,1999,Male,SC,1,1,2024-10-23
388,TR-00388,1991,Other,ST,5,1,2024-10-23
389,TR-00389,1995,Female,SC,2,1,2024-10-23
390,TR-00390,1995,Male,General,4,1,2024-10-23
391,TR-00391,1999,Male,ST,1,1,2024-10-23
392,TR-00392,2003,Male,OBC,1,1,2024-10-23
393,TR-00393,1994,Male,ST,1,1,2024-10-23
394,TR-00394,1994,Female,SC,1,1,2024-10-23
395,TR-00395,1997,Other,ST,3,1,2024-10-23
396,TR-00396,1995,Female,OBC,5,1,2024-10-23
397,TR-00397,1990,Female,SC,1,1,2024-10-23
398,TR-00398,1998,Male,SC,2,1,2024-10-23
399,TR-00399,1999,Other,ST,3,1,2024-10-23
400,TR-00400,2005,Other,General,4,1,2024-10-23
401,TR-00401,1991,Other,OBC,2,1,2024-10-23
402,TR-00402,1998,Female,OBC,2,1,2024-10-23
403,TR-00403,1993,Other,ST,5,1,2024-10-23
404,TR-00404,1990,Male,OBC,3,1,2024-10-23
405,TR-00405,1991,Female,OBC,1,1,2024-10-23
406,TR-00406,1993,Other,SC,1,1,2024-10-23
407,TR-00407,2003,Male,OBC,2,1,2024-10-23
408,TR-00408,2005,Female,General,1,1,2024-10-23
409,TR-00409,1990,Female,OBC,1,1,2024-08-26
410,TR-00410,1992,Female,ST,4,1,2024-08-26
411,TR-00411,1992,Female,SC,2,1,2024-08-26
412,TR-00412,2001,Other,ST,1,1,2024-08-26
413,TR-00413,2003,Male,General,1,1,2024-08-26
414,TR-00414,1991,Other,OBC,1,1,2024-08-26
415,TR-00415,2007,Other,SC,4,1,2024-08-26
416,TR-00416,1998,Female,ST,2,1,2024-08-26
417,TR-00417,1996,Other,General,1,1,2024-08-26
418,TR-00418,2002,Other,SC,3,1,2024-08-26
419,TR-00419,1994,Other,OBC,2,1,2024-08-26
420,TR-00420,2000,Male,OBC,5,1,2024-08-26
421,TR-00421,1997,Female,General,4,1,2024-08-26
422,TR-00422,1994,Male,General,1,1,2024-08-26
423,TR-00423,2001,Other,SC,4,1,2024-08-26
424,TR-00424,1993,Male,ST,2,1,2024-08-26
425,TR-00425,1996,Female,OBC,4,1,2024-08-26
426,TR-00426,1992,Female,General,2,1,2024-08-26
427,TR-00427,2006,Female,SC,4,1,2024-08-26
428,TR-00428,1995,Female,SC,3,1,2024-08-26
429,TR-00429,2003,Male,General,1,1,2024-08-26
430,TR-00430,1993,Female,OBC,5,1,2024-08-26
431,TR-00431,2002,Female,SC,5,1,2024-08-26
432,TR-00432,2001,Female,SC,3,1,2024-08-26
433,TR-00433,2003,Male,SC,4,1,2024-08-26
434,TR-00434,1993,Male,General,4,1,2024-08-26
435,TR-00435,1996,Female,ST,4,1,2024-08-26
436,TR-00436,2004,Male,ST,3,1,2024-08-26
437,TR-00437,2006,Male,SC,2,1,2024-08-26
438,TR-00438,1997,Female,ST,4,1,2024-08-26
439,TR-00439,2006,Other,SC,3,1,2024-08-26
440,TR-00440,1996,Other,ST,4,1,2024-08-26
441,TR-00441,2007,Female,SC,3,1,2024-08-26
442,TR-00442,1994,Other,General,1,1,2024-08-26
443,TR-00443,1995,Male,General,2,1,2024-08-26
444,TR-00444,1990,Male,OBC,2,1,2024-08-26
445,TR-00445,1996,Female,SC,4,1,2024-08-26
446,TR-00446,1993,Other,ST,3,1,2024-08-26
447,TR-00447,2001,Female,SC,3,1,2024-08-26
448,TR-00448,2005,Female,SC,4,1,2024-08-26
449,TR-00449,1999,Male,SC,4,1,2024-08-26
450,TR-00450,1990,Other,General,5,1,2024-08-26
451,TR-00451,2005,Other,ST,2,1,2024-08-26
452,TR-00452,1999,Other,General,3,1,2024-08-26
453,TR-00453,1997,Male,ST,2,1,2024-08-26
454,TR-00454,2004,Female,SC,1,1,2024-08-26
455,TR-00455,2001,Male,General,4,1,2024-08-26
456,TR-00456,1998,Female,General,1,1,2024-08-26
457,TR-00457,2002,Male,General,4,1,2024-08-26
458,TR-00458,1996,Male,SC,2,1,2024-08-26
459,TR-00459,1990,Male,OBC,4,1,2024-08-26
460,TR-00460,2005,Female,SC,5,1,2024-08-26
461,TR-00461,2002,Other,ST,3,1,2024-08-26
462,TR-00462,1990,Male,General,3,1,2024-08-26
463,TR-00463,2002,Male,ST,2,1,2024-08-26
464,TR-00464,2004,Male,ST,3,1,2024-08-26
465,TR-00465,2004,Female,General,5,1,2024-08-26
466,TR-00466,2000,Other,General,1,1,2024-08-26
467,TR-00467,2006,Other,General,1,1,2024-08-26
468,TR-00468,2005,Female,OBC,4,1,2024-08-26
469,TR-00469,1993,Male,OBC,5,1,2024-08-26
470,TR-00470,2006,Other,OBC,2,1,2024-08-26
471,TR-00471,2001,Other,SC,4,1,2024-08-26
472,TR-00472,1996,Male,ST,5,1,2024-08-26
473,TR-00473,2002,Female,General,5,1,2024-08-26
474,TR-00474,1993,Other,General,2,1,2024-08-26
475,TR-00475,2007,Female,OBC,2,1,2024-08-26
476,TR-00476,2007,Female,SC,4,1,2024-08-26
477,TR-00477,1996,Female,ST,4,1,2025-01-24
478,TR-00478,2004,Male,ST,1,1,2025-01-24
479,TR-00479,1997,Other,SC,5,1,2025-01-24
480,TR-00480,1998,Other,General,4,1,2025-01-24
481,TR-00481,2000,Female,OBC,2,1,2025-01-24
482,TR-00482,1997,Female,General,3,1,2025-01-24
483,TR-00483,2007,Other,ST,2,1,2025-01-24
484,TR-00484,1991,Female,OBC,5,1,2025-01-24
485,TR-00485,2007,Male,OBC,3,1,2025-01-24
486,TR-00486,2001,Male,ST,1,1,2025-01-24
487,TR-00487,2002,Male,General,5,1,2025-01-24
488,TR-00488,2003,Male,General,5,1,2025-01-24
489,TR-00489,2007,Male,ST,3,1,2025-01-24
490,TR-00490,2000,Male,OBC,5,1,2025-01-24
491,TR-00491,1994,Female,OBC,4,1,2025-01-24
492,TR-00492,1993,Female,ST,3,1,2025-01-24
493,TR-00493,2006,Other,SC,3,1,2025-01-24
494,TR-00494,1997,Male,OBC,3,1,2025-01-24
495,TR-00495,1999,Male,SC,3,1,2025-01-24
496,TR-00496,2002,Male,SC,5,1,2025-01-24
497,TR-00497,1994,Female,SC,1,1,2025-01-24
